INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades segun tipo de organizacion o asociacion,,,,,,,,,,cuadro 32
por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_total, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_asociacion_rural_de_interes_colectivo, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_union_de_ejidos_y_comunidades_agrarias, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_grupos_para_la_produccion, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_produccion_rural, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_de_solidaridad_social, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_sociedades_mercantiles, ejidos_y_comunidades_segun_tipo_de_organizacion_o_asociacion_otras_formas_de_asociacion,sin_formas_de_organizacion_o_asociacion
Uruachi,19,10,0,9,1,0,0,0,0,9
Valle de Zaragoza,15,1,0,0,0,0,0,0,1,14
Distrito Federal,37,23,1,11,11,7,4,1,5,14
Cuajimalpa de Morelos,C,C,0,1,2,0,0,0,0,C
La Magdalena Contreras,3,3,1,1,2,1,0,1,2,0
Milpa Alta,8,4,0,2,2,0,0,0,2,4
alvaro Obregon,C,C,0,2,0,0,0,0,0,C
Tlahuac,7,5,0,2,2,3,1,0,1,2
Tlalpan,10,4,0,2,3,2,2,0,0,6
Xochimilco,4,2,0,1,0,1,1,0,0,2
Durango,1124,518,57,401,109,65,51,7,16,606
Canatlan,40,28,6,25,3,4,0,2,1,12
Canelas,C,C,0,2,0,0,0,0,0,C
Coneto de Comonfort,8,1,0,0,1,0,0,0,0,7
Cuencame,28,12,1,9,4,5,0,1,1,16
Durango,122,47,3,35,16,6,8,0,2,75
General Simon Bolivar,21,16,0,11,5,0,2,0,1,5
Gomez Palacio,98,13,4,9,4,2,2,1,0,85
Guadalupe Victoria,10,9,0,8,3,3,3,0,0,1
Guanacevi,40,19,1,17,1,0,1,0,0,21
Hidalgo,18,2,0,0,1,0,0,0,1,16
Inde,12,0,0,0,0,0,0,0,0,12
Lerdo,31,20,3,15,7,4,4,1,0,11
Mapimi,78,42,12,20,10,2,4,1,1,36
Mezquital,22,8,2,5,5,1,1,0,0,14
Nazas,24,9,1,4,4,2,0,0,0,15
Nombre de Dios,19,13,3,6,4,5,3,0,1,6
Ocampo,24,4,1,2,1,0,0,0,0,20
El Oro,25,14,0,14,0,0,0,0,0,11
Otaez,14,8,2,8,0,0,0,0,0,6
Panuco de Coronado,17,10,1,8,0,1,1,0,0,7
Peñon Blanco,5,3,0,2,0,1,1,0,1,2
Poanas,20,9,2,3,1,6,1,0,1,11
Pueblo Nuevo,24,20,0,19,7,1,1,0,1,4
Rodeo,29,14,1,11,1,5,0,0,2,15
San Bernardo,24,1,0,1,0,0,0,0,0,23
San Dimas,49,36,0,35,8,3,3,0,0,13
San Juan de Guadalupe,21,9,0,7,2,0,1,0,0,12
San Juan del Rio,22,2,0,2,0,1,0,0,0,20
San Luis del Cordero,C,C,0,0,1,0,0,0,0,C
San Pedro del Gallo,11,2,0,0,0,0,1,0,1,9
Santa Clara,6,0,0,0,0,0,0,0,0,6
Santiago Papasquiaro,62,31,4,31,4,2,1,0,1,31
Suchil,10,6,0,3,2,1,0,0,0,4
Tamazula,49,31,3,30,1,0,1,0,0,18
Tepehuanes,26,23,4,22,3,0,0,0,0,3
Tlahualilo,57,22,1,11,7,3,11,0,1,35
Topia,15,7,0,7,2,1,1,0,0,8
Vicente Guerrero,9,6,1,5,1,0,0,0,0,3
Nuevo Ideal,29,18,1,14,0,6,0,1,0,11
Guanajuato,1543,376,21,248,60,35,14,3,68,1167
Abasolo,47,7,0,1,1,1,0,0,4,40
Acambaro,69,32,1,29,1,1,4,0,5,37
San Miguel de Allende,61,10,1,6,3,0,1,0,2,51
Apaseo el Alto,28,3,0,1,1,0,0,0,2,25
Apaseo el Grande,39,7,0,6,1,1,0,0,0,32
Atarjea,12,0,0,0,0,0,0,0,0,12
Celaya,40,4,0,1,1,0,0,0,2,36
Manuel Doblado,33,0,0,0,0,0,0,0,0,33
Comonfort,32,14,0,14,1,1,0,0,0,18
Coroneo,C,C,0,0,0,0,0,0,0,C
Cortazar,23,5,0,3,1,2,0,0,1,18
Cueramaro,15,2,1,0,0,1,0,0,1,13
Doctor Mora,5,1,0,1,0,0,0,0,0,4
Dolores Hidalgo Cuna de la Independencia Nal.,60,10,3,4,3,2,0,0,2,50
Guanajuato,29,8,0,8,0,1,0,0,0,21
Huanimaro,20,12,0,1,1,0,0,0,11,8
Irapuato,80,18,2,15,1,1,0,0,1,62
Jaral del Progreso,15,5,1,3,1,2,0,1,0,10
Jerecuaro,42,4,0,2,3,0,0,0,0,38
Leon,50,23,1,18,2,1,0,0,2,27
Moroleon,8,1,0,1,1,0,0,0,0,7
Ocampo,16,10,0,3,5,4,0,0,1,6
Penjamo,151,15,0,10,2,2,2,0,0,136
Pueblo Nuevo,6,0,0,0,0,0,0,0,0,6
Purisima del Rincon,11,0,0,0,0,0,0,0,0,11
Romita,47,4,0,4,0,0,0,0,0,43
Salamanca,54,16,0,10,2,0,0,0,6,38
Salvatierra,58,19,1,16,1,1,1,0,4,39
San Diego de la Union,34,8,3,4,1,2,0,0,0,26
San Felipe,81,20,2,9,6,4,2,0,3,61
San Francisco del Rincon,26,3,0,1,2,1,0,0,0,23
San Jose Iturbide,3,1,0,0,0,1,0,0,0,2
San Luis de la Paz,24,14,3,9,5,2,3,2,0,10
Santa Catarina,C,C,0,0,0,0,0,0,1,C
Santa Cruz de Juventino Rosas,26,9,0,9,0,0,0,0,1,17
Santiago Maravatio,9,0,0,0,0,0,0,0,0,9
Silao,64,12,1,4,7,0,0,0,1,52
Tarandacuao,3,2,0,0,0,0,0,0,2,1
Tarimoro,14,3,0,3,0,0,0,0,0,11
Tierra Blanca,3,2,1,1,0,0,0,0,0,1
Uriangato,9,1,0,0,1,1,0,0,0,8
Valle de Santiago,98,28,0,13,0,1,0,0,16,70
Victoria,15,2,0,1,1,0,0,0,0,13
Villagran,11,9,0,9,3,1,0,0,0,2
Xichu,14,2,0,1,1,0,0,0,0,12
Yuriria,53,29,0,27,1,1,1,0,0,24
Guerrero,1259,334,48,185,105,53,22,2,32,925
Acapulco de Juarez,45,14,1,6,6,2,1,0,4,31
Ahuacuotzingo,28,3,0,2,0,0,1,0,0,25
Ajuchitlan del Progreso,39,6,0,4,2,1,0,0,0,33
Alcozauca de Guerrero,14,6,0,3,1,1,0,0,2,8
Alpoyeca,5,1,0,1,0,0,0,0,0,4
Apaxtla,4,0,0,0,0,0,0,0,0,4
Arcelia,23,7,0,0,3,2,0,0,3,16
Atenango del Rio,14,7,2,4,2,0,2,0,0,7
Atlamajalcingo del Monte,7,2,1,2,0,0,0,0,0,5
Atlixtac,5,1,1,1,1,0,0,0,0,4
Atoyac de alvarez,36,21,0,14,7,3,0,0,1,15
Ayutla de los Libres,28,6,3,5,1,2,0,0,0,22
Azoyu,11,5,0,4,2,2,0,0,0,6
Benito Juarez,6,3,0,2,2,0,0,0,0,3
Buenavista de Cuellar,7,0,0,0,0,0,0,0,0,7
Coahuayutla de Jose Maria Izazaga,35,15,0,7,2,2,1,0,6,20
Cocula,16,6,0,4,0,0,2,0,1,10
Copala,6,0,0,0,0,0,0,0,0,6
Copalillo,9,2,0,0,2,0,0,0,0,7
Copanatoyac,8,0,0,0,0,0,0,0,0,8
Coyuca de Benitez,32,13,0,4,5,7,1,0,0,19
Coyuca de Catalan,56,4,0,1,1,2,0,0,0,52
Cuajinicuilapa,11,10,0,10,2,1,0,0,0,1
Cualac,C,C,0,0,0,0,0,0,0,C
Cuautepec,5,0,0,0,0,0,0,0,0,5
