INEGI. IX Censo Ejidal 2007,,,,,,,
"Total de ejidatarios, comuneros y posesionarios",,,,,,,cuadro 13
por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,total,ejidatarios_y_comuneros_total,ejidatarios_y_comuneros_hombres,ejidatarios_y_comuneros_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres
Nopala de Villagran,9,1286,1161,125,1284,1161,123
Omitlan de Juarez,4,661,521,140,661,521,140
San Felipe Orizatlan,80,5501,5043,458,5466,5016,450
Pacula,C,154,136,18,90,74,16
Pachuca de Soto,7,792,665,127,738,662,76
Pisaflores,6,269,244,25,257,244,13
Progreso de Obregon,C,226,200,26,226,200,26
Mineral de la Reforma,7,612,500,112,603,491,112
San Agustin Tlaxiaca,10,2785,2322,463,2784,2321,463
San Bartolo Tutotepec,7,152,135,17,92,82,10
San Salvador,18,4287,3508,779,4019,3370,649
Santiago de Anaya,13,2010,1541,469,2010,1541,469
Santiago Tulantepec de Lugo Guerrero,6,635,489,146,589,450,139
Singuilucan,15,1633,1352,281,1633,1352,281
Tasquillo,17,2434,1795,639,2410,1788,622
Tecozautla,32,3219,2908,311,3197,2889,308
Tenango de Doria,5,409,317,92,287,205,82
Tepeapulco,9,1381,1194,187,1278,1101,177
Tepehuacan de Guerrero,31,4736,4496,240,2056,1995,61
Tepeji del Rio de Ocampo,16,3050,2519,531,2910,2399,511
Tepetitlan,12,1438,1124,314,1325,1026,299
Tetepango,C,1127,981,146,1127,981,146
Villa de Tezontepec,C,301,198,103,301,198,103
