INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tematica de la capacitacion recibida en ultimos cinco años,,,,,,,,,,,,,,,cuadro 36
y ejidatarios participantes por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,total,recibieron_capacitacion_tematica_organizacion_agraria_total,recibieron_capacitacion_tematica_organizacion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_administracion_agraria_total,recibieron_capacitacion_tematica_administracion_agraria_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_cultivos_o_del_bosque_ejidatarios_participantes,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_total,recibieron_capacitacion_tematica_manejo_o_cuidado_de_los_animales_ejidatarios_participantes,recibieron_capacitacion_tematica_comercializacion_total,recibieron_capacitacion_tematica_comercializacion_ejidatarios_participantes,recibieron_capacitacion_tematica_derechos_agrarios_total,recibieron_capacitacion_tematica_derechos_agrarios_ejidatarios_participantes,no recibieroncapacitacion sobre estas tematicas
San Pedro Jaltepetongo,C,C,0,0,0,0,1,6,1,6,0,0,0,0,C
San Pedro Jicayan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Jocotipac,C,C,0,0,0,0,1,341,1,341,0,0,1,341,C
San Pedro Juchatengo,C,C,0,0,0,0,1,12,0,0,0,0,0,0,C
San Pedro Martir,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Martir Quiechapa,C,C,1,140,0,0,0,0,0,0,0,0,0,0,C
San Pedro Martir Yucuxaco,C,C,0,0,0,0,0,0,0,0,0,0,1,160,C
San Pedro Mixtepec -Dto. 22-,C,C,0,0,0,0,1,20,0,0,0,0,0,0,C
San Pedro Mixtepec -Dto. 26-,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Molinos,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Nopala,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Ocopetatillo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Ocotepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Pochutla,C,C,0,0,0,0,1,70,1,70,1,100,1,100,C
San Pedro Quiatoni,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Sochiapam,5,1,0,0,0,0,1,12,0,0,0,0,0,0,4
San Pedro Tapanatepec,8,1,0,0,0,0,0,0,1,43,0,0,0,0,7
San Pedro Taviche,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Teozacoalco,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Teutila,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Pedro Tidaa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Topiltepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro Totolapa,3,3,1,20,0,0,1,77,1,12,0,0,0,0,0
Villa de Tututepec de Melchor Ocampo,6,2,1,352,1,352,1,100,2,140,1,100,1,100,4
San Pedro Yaneri,C,C,1,181,1,10,1,50,0,0,1,20,1,50,C
San Pedro Yolox,6,3,1,35,1,35,3,74,1,10,1,15,1,25,3
San Pedro y San Pablo Ayutla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Villa de Etla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Pedro y San Pablo Teposcolula,7,2,0,0,0,0,1,100,1,100,0,0,1,29,5
San Pedro y San Pablo Tequixtepec,8,1,0,0,0,0,1,90,1,90,0,0,1,245,7
San Pedro Yucunama,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Raymundo Jalpan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Sebastian Abasolo,C,C,0,0,0,0,1,49,0,0,0,0,1,49,C
San Sebastian Coatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Sebastian Ixcapa,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
San Sebastian Nicananduta,C,C,0,0,0,0,1,400,0,0,0,0,0,0,C
San Sebastian Rio Hondo,4,2,1,35,0,0,1,12,0,0,0,0,0,0,2
San Sebastian Tecomaxtlahuaca,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Sebastian Teitipac,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Sebastian Tutla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Simon Almolongas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Simon Zahuatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Ana,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Ana Cuauhtemoc,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Ana del Valle,C,C,1,12,0,0,1,12,0,0,0,0,1,12,C
Santa Ana Tavela,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Ana Tlapacoyan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Ana Yareni,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Ana Zegache,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Catalina Quieri,C,C,0,0,0,0,1,5,0,0,0,0,0,0,C
Santa Catarina Cuixtla,C,C,0,0,0,0,1,40,0,0,0,0,0,0,C
Santa Catarina Ixtepeji,C,C,1,16,1,16,2,58,0,0,0,0,2,58,C
Santa Catarina Juquila,6,2,1,200,1,200,2,800,1,300,0,0,1,200,4
Santa Catarina Lachatao,C,C,0,0,0,0,1,120,0,0,0,0,0,0,C
Santa Catarina Loxicha,C,C,1,25,1,25,1,100,0,0,0,0,1,45,C
Santa Catarina Mechoacan,C,C,1,20,1,15,1,20,1,25,1,18,1,25,C
Santa Catarina Minas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Catarina Quiane,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Catarina Tayata,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Catarina Ticua,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Catarina Yosonotu,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Catarina Zapoquila,3,1,0,0,0,0,0,0,1,7,1,7,0,0,2
Santa Cruz Amilpas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Cruz Itundujia,C,C,1,1300,1,40,2,1370,1,300,0,0,2,2567,C
Santa Cruz Mixtepec,4,1,1,104,1,50,0,0,1,104,1,104,1,104,3
Santa Cruz Nundaco,C,C,0,0,0,0,1,9,0,0,0,0,0,0,C
Santa Cruz Papalutla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Cruz Tacache de Mina,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Cruz Tacahua,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Cruz Tayata,C,C,1,45,1,45,0,0,0,0,0,0,1,12,C
Santa Cruz Xitla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Cruz Xoxocotlan,5,1,0,0,0,0,1,6,0,0,0,0,0,0,4
Santa Cruz Zenzontepec,C,C,0,0,0,0,1,60,0,0,0,0,0,0,C
Santa Gertrudis,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Santa Ines del Monte,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Lucia del Camino,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Lucia Miahuatlan,C,C,0,0,0,0,1,1000,0,0,0,0,1,1000,C
Santa Lucia Monteverde,4,2,2,640,2,470,1,16,1,40,2,458,2,540,2
Santa Lucia Ocotlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Alotepec,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Santa Maria Apazco,C,C,0,0,0,0,1,150,0,0,0,0,0,0,C
Heroica Ciudad de Tlaxiaco,8,2,1,26,1,6,1,10,0,0,0,0,2,106,6
Ayoquezco de Aldama,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Atzompa,C,C,1,14,1,15,0,0,0,0,0,0,1,15,C
Santa Maria Camotlan,C,C,0,0,0,0,1,1,0,0,0,0,0,0,C
Santa Maria Colotepec,C,C,0,0,0,0,0,0,1,200,0,0,0,0,C
Santa Maria Cortijo,C,C,0,0,0,0,0,0,0,0,0,0,1,5,C
Santa Maria Coyotepec,C,C,2,299,0,0,1,12,1,6,0,0,1,12,C
Santa Maria Chachoapam,C,C,1,63,0,0,0,0,0,0,0,0,0,0,C
Villa de Chilapa de Diaz,4,2,0,0,0,0,2,9,0,0,0,0,0,0,2
Santa Maria Chilchotla,5,2,2,110,0,0,1,64,0,0,1,64,1,109,3
Santa Maria Chimalapa,3,2,1,12,0,0,1,460,0,0,0,0,0,0,1
Santa Maria del Rosario,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria del Tule,3,1,0,0,0,0,0,0,0,0,0,0,1,1,2
Santa Maria Ecatepec,9,2,0,0,1,227,1,227,0,0,0,0,2,369,7
Santa Maria Guelace,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Guienagati,C,C,0,0,0,0,0,0,1,706,1,100,0,0,C
Santa Maria Huatulco,C,C,1,12,1,12,1,30,1,50,1,100,1,12,C
Santa Maria Huazolotitlan,6,4,1,100,1,6,1,38,3,104,0,0,1,12,2
Santa Maria Ipalapa,3,1,0,0,0,0,0,0,1,50,0,0,0,0,2
Santa Maria Ixcatlan,C,C,0,0,1,200,1,200,1,220,0,0,1,220,C
Santa Maria Jacatepec,15,4,0,0,0,0,4,478,0,0,0,0,1,158,11
Santa Maria Jalapa del Marques,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Jaltianguis,C,C,1,164,1,164,1,164,0,0,1,164,1,164,C
Santa Maria Mixtequilla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Nativitas,C,C,0,0,0,0,1,300,0,0,1,300,0,0,C
Santa Maria Nduayaco,3,1,0,0,0,0,1,180,1,12,0,0,0,0,2
Santa Maria Papalo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Peñoles,4,1,0,0,0,0,1,12,0,0,0,0,0,0,3
Santa Maria Petapa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Quiegolani,C,C,0,0,0,0,1,28,0,0,0,0,0,0,C
Santa Maria Sola,4,1,0,0,0,0,1,60,0,0,0,0,0,0,3
Santa Maria Tataltepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Tecomavaca,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Temaxcalapa,C,C,0,0,0,0,1,356,0,0,0,0,0,0,C
Santa Maria Temaxcaltepec,C,C,0,0,0,0,1,80,1,5,0,0,1,20,C
Santa Maria Teopoxco,C,C,0,0,0,0,1,50,0,0,0,0,0,0,C
Santa Maria Tepantlali,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Texcatitlan,C,C,1,100,0,0,1,30,1,50,0,0,1,100,C
Santa Maria Tlahuitoltepec,C,C,0,0,0,0,1,30,0,0,0,0,0,0,C
Santa Maria Tlalixtac,C,C,0,0,0,0,0,0,1,60,1,5,0,0,C
Santa Maria Tonameca,C,C,1,800,0,0,1,800,1,90,1,1000,1,750,C
Santa Maria Totolapilla,C,C,0,0,0,0,1,129,0,0,0,0,0,0,C
Santa Maria Yalina,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Yolotepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Yosoyua,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Yucuhiti,C,C,0,0,1,70,1,70,0,0,0,0,1,70,C
Santa Maria Zacatepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Zaniza,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Zoquitlan,C,C,0,0,0,0,1,15,0,0,0,0,0,0,C
Santiago Amoltepec,C,C,0,0,0,0,1,20,0,0,0,0,0,0,C
Santiago Apoala,C,C,1,356,0,0,1,356,0,0,1,6,1,356,C
Santiago Astata,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Atitlan,C,C,0,0,0,0,1,3,0,0,0,0,0,0,C
Santiago Ayuquililla,C,C,0,0,0,0,0,0,0,0,0,0,1,109,C
Santiago Cacaloxtepec,C,C,1,200,0,0,0,0,0,0,0,0,1,200,C
Santiago Camotlan,4,2,1,7,1,7,2,204,2,20,0,0,2,225,2
Santiago Comaltepec,C,C,0,0,0,0,1,25,0,0,1,30,1,30,C
Santiago Chazumba,10,3,0,0,0,0,0,0,0,0,0,0,3,150,7
Santiago Choapam,6,4,3,601,0,0,2,695,2,71,1,12,3,704,2
Santiago del Rio,C,C,1,250,0,0,0,0,0,0,0,0,0,0,C
Santiago Huajolotitlan,7,2,1,25,1,12,0,0,0,0,0,0,2,37,5
Santiago Huauclilla,4,1,1,75,0,0,1,12,1,12,0,0,0,0,3
Santiago Ihuitlan Plumas,C,C,1,5,0,0,0,0,0,0,0,0,0,0,C
Santiago Ixcuintepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Ixtayutla,7,1,1,40,0,0,0,0,0,0,0,0,1,40,6
Santiago Jamiltepec,6,4,1,8,0,0,2,105,2,122,0,0,2,60,2
Santiago Jocotepec,23,11,1,138,2,174,8,556,1,1,1,138,2,69,12
Santiago Juxtlahuaca,10,7,2,1512,1,12,6,286,1,90,0,0,4,326,3
Santiago Lachiguiri,C,C,0,0,0,0,1,20,0,0,0,0,0,0,C
Santiago Lalopa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Laollaga,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Laxopa,3,1,0,0,0,0,1,60,1,35,1,22,0,0,2
Santiago Llano Grande,3,1,0,0,0,0,0,0,0,0,0,0,1,135,2
Santiago Matatlan,3,3,2,24,0,0,0,0,0,0,0,0,2,204,0
Santiago Minas,C,C,0,0,0,0,1,750,0,0,0,0,0,0,C
Santiago Nacaltepec,5,2,0,0,0,0,1,18,0,0,0,0,1,41,3
Santiago Nejapilla,C,C,0,0,0,0,1,50,0,0,0,0,0,0,C
Santiago Nundiche,C,C,0,0,0,0,1,60,0,0,0,0,0,0,C
Santiago Nuyoo,3,2,1,12,1,12,1,19,1,19,0,0,1,12,1
Santiago Pinotepa Nacional,23,8,0,0,2,15,2,15,2,60,0,0,5,311,15
Santiago Suchilquitongo,6,1,1,70,0,0,1,30,0,0,0,0,1,30,5
Santiago Tamazola,4,1,0,0,0,0,1,64,0,0,0,0,1,64,3
Santiago Tapextla,3,1,1,297,1,297,1,297,1,40,1,40,1,297,2
Villa Tejupam de la Union,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Tenango,C,C,0,0,0,0,1,30,0,0,0,0,0,0,C
Santiago Tepetlapa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Tetepec,6,3,0,0,0,0,1,145,2,54,1,50,1,120,3
Santiago Texcalcingo,C,C,1,736,0,0,0,0,0,0,0,0,0,0,C
Santiago Textitlan,C,C,0,0,0,0,1,1500,0,0,1,1500,0,0,C
Santiago Tilantongo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Tillo,C,C,1,15,0,0,0,0,0,0,0,0,1,15,C
Santiago Tlazoyaltepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Xanica,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Xiacui,3,3,3,454,1,323,3,556,0,0,2,138,3,556,0
Santiago Yaitepec,C,C,0,0,0,0,1,468,0,0,0,0,0,0,C
Santiago Yaveo,8,4,2,320,2,320,1,182,2,80,0,0,2,370,4
Santiago Yosondua,4,1,0,0,0,0,1,11,0,0,0,0,0,0,3
Santiago Yucuyachi,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santiago Zacatepec,3,1,0,0,0,0,1,60,0,0,1,68,0,0,2
Santiago Zoochila,C,C,0,0,0,0,1,28,0,0,0,0,0,0,C
Nuevo Zoquiapam,C,C,1,6,1,6,1,6,0,0,1,6,1,6,C
Santo Domingo Ingenio,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Albarradas,C,C,0,0,0,0,1,12,0,0,0,0,0,0,C
Santo Domingo Armenta,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Chihuitan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo de Morelos,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Ixcatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Nuxaa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Ozolotepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Petapa,C,C,0,0,0,0,1,25,0,0,0,0,0,0,C
Santo Domingo Roayaga,C,C,1,30,1,30,0,0,0,0,0,0,1,30,C
Santo Domingo Tehuantepec,17,2,0,0,0,0,1,22,0,0,0,0,1,20,15
Santo Domingo Teojomulco,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Tepuxtepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Tlatayapam,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Tomaltepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Tonala,4,1,0,0,0,0,0,0,0,0,0,0,1,10,3
Santo Domingo Tonaltepec,C,C,0,0,1,5,0,0,0,0,0,0,0,0,C
Santo Domingo Xagacia,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Yanhuitlan,C,C,1,8,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Zanatepec,6,1,0,0,0,0,0,0,1,100,0,0,0,0,5
Santos Reyes Nopala,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Santos Reyes Papalo,C,C,0,0,0,0,1,6,0,0,0,0,0,0,C
Santos Reyes Tepejillo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santos Reyes Yucuna,C,C,0,0,0,0,0,0,0,0,0,0,1,247,C
Santo Tomas Jalieza,5,1,0,0,0,0,1,40,0,0,0,0,0,0,4
Santo Tomas Mazaltepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Santo Tomas Ocotepec,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Vicente Coatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Vicente Lachixio,C,C,0,0,0,0,2,35,0,0,0,0,0,0,C
San Vicente Nuñu,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Silacayoapam,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Soledad Etla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Villa de Tamazulapam del Progreso,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Tanetze de Zaragoza,C,C,2,205,0,0,2,205,0,0,1,10,0,0,C
Taniche,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Tataltepec de Valdes,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Teococuilco de Marcos Perez,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Teotitlan de Flores Magon,C,C,1,6,0,0,1,20,0,0,0,0,0,0,C
Teotitlan del Valle,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Teotongo,C,C,0,0,0,0,1,300,0,0,0,0,0,0,C
Tepelmeme Villa de Morelos,C,C,0,0,0,0,1,6,0,0,0,0,0,0,C
Tezoatlan de Segura y Luna,9,1,0,0,0,0,1,142,1,142,0,0,0,0,8
San Jeronimo Tlacochahuaya,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tlacolula de Matamoros,6,3,1,147,1,147,2,18,0,0,0,0,1,128,3
Tlacotepec Plumas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Tlalixtac de Cabrera,C,C,0,0,0,0,1,40,0,0,0,0,0,0,C
Totontepec Villa de Morelos,11,7,4,487,2,95,5,642,0,0,0,0,5,673,4
Trinidad Zaachila,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
La Trinidad Vista Hermosa,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Valerio Trujano,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
San Juan Bautista Valle Nacional,24,12,8,330,4,94,9,582,7,402,2,102,5,594,12
Villa Diaz Ordaz,3,1,0,0,0,0,1,100,0,0,1,100,0,0,2
Yaxe,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Magdalena Yodocono de Porfirio Diaz,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Yogana,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Yutanduchi de Guerrero,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Villa de Zaachila,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Zapotitlan del Rio,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Zapotitlan Lagunas,C,C,0,0,0,0,0,0,0,0,0,0,1,5,C
Zapotitlan Palmas,C,C,1,60,1,60,0,0,0,0,0,0,2,210,C
Santa Ines de Zaragoza,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Zimatlan de alvarez,8,5,3,370,0,0,5,992,0,0,2,640,0,0,3
Puebla,1194,429,130,8470,51,3094,260,13677,93,3816,40,2008,147,13355,765
Acajete,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Acateno,4,1,0,0,1,25,0,0,0,0,0,0,0,0,3
Acatlan,16,1,0,0,0,0,0,0,1,30,0,0,0,0,15
Acatzingo,9,1,0,0,0,0,1,25,0,0,0,0,0,0,8
Acteopan,C,C,1,20,1,20,0,0,1,10,0,0,0,0,C
Ahuacatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Ahuatlan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Ahuazotepec,6,4,2,75,0,0,4,143,0,0,0,0,0,0,2
Ahuehuetitla,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Ajalpan,10,4,1,32,1,32,0,0,0,0,0,0,4,630,6
Albino Zertuche,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Aljojuca,4,1,1,40,0,0,0,0,0,0,0,0,1,40,3
Altepexi,C,C,0,0,0,0,0,0,1,4,0,0,0,0,C
Amixtlan,C,C,0,0,0,0,1,18,0,0,0,0,0,0,C
Amozoc,7,3,1,30,1,30,1,30,0,0,0,0,2,68,4
Aquixtla,5,3,0,0,0,0,3,38,0,0,2,8,0,0,2
Atexcal,9,1,0,0,0,0,0,0,0,0,0,0,1,56,8
Atlixco,29,6,3,126,0,0,2,246,1,2,1,25,1,125,23
Atoyatempan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Atzala,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Atzitzihuacan,9,3,1,26,0,0,1,120,1,20,0,0,1,120,6
Atzitzintla,5,2,1,26,0,0,1,20,0,0,0,0,0,0,3
Axutla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Ayotoxco de Guerrero,3,2,1,217,1,217,2,277,1,217,0,0,1,217,1
Calpan,3,1,1,80,0,0,0,0,0,0,0,0,0,0,2
Caltepec,9,4,0,0,0,0,3,62,2,12,0,0,0,0,5
Camocuautla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Caxhuacan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Coatzingo,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cohetzala,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cohuecan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Coronango,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Coxcatlan,9,3,1,500,0,0,2,208,0,0,1,116,2,268,6
Coyomeapan,3,1,1,60,0,0,0,0,0,0,0,0,1,60,2
Coyotepec,4,1,0,0,0,0,0,0,1,2,0,0,0,0,3
Cuapiaxtla de Madero,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cuautempan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Cuautinchan,7,2,0,0,0,0,2,21,0,0,0,0,0,0,5
Cuautlancingo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cuayuca de Andrade,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Cuetzalan del Progreso,C,C,1,25,1,5,1,25,1,50,1,50,1,4,C
Cuyoaco,11,5,1,60,0,0,4,152,1,50,0,0,2,189,6
Chalchicomula de Sesma,24,8,1,15,0,0,4,133,2,80,2,55,0,0,16
Chapulco,C,C,0,0,0,0,1,50,0,0,0,0,0,0,C
Chiautla,6,4,2,138,0,0,1,113,3,203,0,0,2,203,2
Chiautzingo,5,1,1,280,1,280,1,280,0,0,0,0,1,280,4
Chiconcuautla,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Chietla,21,10,5,413,2,27,2,45,2,328,0,0,5,423,11
Chignahuapan,45,37,5,274,1,84,34,1425,9,67,2,6,3,125,8
Chignautla,C,C,1,74,0,0,1,29,1,15,0,0,0,0,C
Chila,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Chila de la Sal,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Honey,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Chilchotla,C,C,1,800,0,0,1,1000,0,0,1,1000,0,0,C
Chinantla,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Domingo Arenas,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Eloxochitlan,C,C,0,0,0,0,1,18,1,25,0,0,1,1001,C
Epatlan,4,1,0,0,0,0,0,0,0,0,0,0,1,25,3
Esperanza,9,2,0,0,0,0,1,30,0,0,0,0,1,45,7
Francisco Z. Mena,21,11,3,94,1,35,2,16,2,60,0,0,3,140,10
General Felipe angeles,5,2,1,68,0,0,2,33,0,0,0,0,0,0,3
Guadalupe,3,1,0,0,1,504,0,0,0,0,0,0,0,0,2
Guadalupe Victoria,10,6,2,50,0,0,3,42,4,91,0,0,1,70,4
Huaquechula,26,6,5,177,1,19,0,0,3,45,1,19,2,53,20
Huatlatlauca,8,1,0,0,0,0,0,0,0,0,0,0,1,1860,7
Huauchinango,4,3,1,6,0,0,2,46,0,0,0,0,0,0,1
Huehuetlan el Chico,4,1,0,0,0,0,0,0,0,0,0,0,1,60,3
Huejotzingo,11,4,0,0,0,0,2,11,0,0,1,10,1,3,7
Hueytamalco,9,4,2,85,2,85,3,168,2,156,0,0,2,85,5
Hueytlalpan,C,C,0,0,0,0,0,0,0,0,0,0,0,0,C
Huitzilan de Serdan,C,C,1,45,0,0,2,66,0,0,1,60,1,70,C
Ixcamilpa de Guerrero,4,1,1,30,1,20,1,30,1,20,0,0,1,40,3
Ixcaquixtla,7,3,0,0,0,0,3,118,0,0,0,0,0,0,4
Ixtacamaxtitlan,24,15,2,92,1,104,15,641,1,52,1,3,2,139,9
Izucar de Matamoros,26,7,3,144,1,12,3,183,0,0,1,20,3,135,19
Jalpan,7,1,0,0,0,0,0,0,0,0,1,90,0,0,6
Jolalpan,9,6,5,507,1,108,3,729,4,755,0,0,5,596,3
