INEGI. IX Censo Ejidal 2007,,,,,,,,,
Superficie total de ejidos y comunidades Agrarias segun distribucion interna de la tierra ,,,,,,,,cuadro 1,
por entidad federativa y municipio,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,superficie_total_(ha),distribucion_interna_de_la_tierra_(ha)_superficie_parcelada,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_uso_comun,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_total,distribucion_interna_de_la_tierra_(ha)_superficie_no_parcelada_asentamiento_humano_reserva_de_crecimiento,otras_superficies_(ha),unidad_de_medida
Tuxtla Gutierrez,6,9644.9200,6592.8900,2752.3900,1879.0100,873.3800,0.0000,299.6400,Hectarea
Tuxtla Chico,7,4128.0000,3767.5000,253.5000,55.0000,198.5000,0.0000,107.0000,Hectarea
Tuzantan,16,10922.5700,10262.8200,331.2700,19.9300,311.3400,1.5000,328.4800,Hectarea
Tzimol,18,23338.5000,17400.0000,5012.5000,4736.5000,276.0000,19.0000,926.0000,Hectarea
Union Juarez,12,3859.0000,3429.0000,374.0000,231.0000,143.0000,33.0000,56.0000,Hectarea
Venustiano Carranza,41,104140.0400,29533.2000,74223.9200,73516.9600,706.9600,40.0000,382.9200,Hectarea
Villa Corzo,71,88509.5300,70159.4400,17410.7000,16189.8400,1220.8600,84.5000,939.3800,Hectarea
Villaflores,67,88441.0500,67018.9900,20237.2500,18262.9400,1974.3100,302.8900,1184.8100,Hectarea
Yajalon,8,5273.5000,2340.5000,2903.0000,2822.0000,81.0000,17.0000,30.0000,Hectarea
San Lucas,     C,3406.0000,2361.0000,997.0000,948.0000,49.0000,0.0000,48.0000,Hectarea
Zinacantan,6,23590.5300,19735.0300,3709.0000,3612.5000,96.5000,12.0000,146.5000,Hectarea
San Juan Cancuc,     C,17161.0000,17145.0000,10.0000,0.0000,10.0000,0.0000,6.0000,Hectarea
Aldama,     C,2645.0000,0.0000,2640.0000,2595.0000,45.0000,0.0000,5.0000,Hectarea
Benemerito de las Americas,14,101694.5200,82529.5800,17875.4600,16569.9600,1305.5000,114.4900,1289.4800,Hectarea
Maravilla Tenejapa,33,50138.5300,23240.7400,25547.2300,20566.9900,4980.2400,450.5300,1350.5600,Hectarea
Marques de Comillas,23,80629.6900,60971.5100,19313.3500,18412.7200,900.6300,97.0000,344.8300,Hectarea
Montecristo de Guerrero,5,14858.5000,225.0000,14602.0000,14447.5000,154.5000,0.0000,31.5000,Hectarea
San Andres Duraznal,5,3998.0000,3031.0000,944.0000,937.0000,7.0000,0.0000,23.0000,Hectarea
Santiago el Pinar,     C,1775.0000,0.0000,1755.0000,1725.0000,30.0000,0.0000,20.0000,Hectarea
Chihuahua,987,10374583.2100,1234396.2300,9009820.3400,8947730.0900,62090.2500,8515.2900,130366.6300,Hectarea
Ahumada,24,309721.5000,19770.0000,283951.0000,282976.0000,975.0000,230.0000,6000.5000,Hectarea
Aldama,24,262291.5000,34742.8300,224032.6700,223050.0000,982.6700,27.5000,3516.0000,Hectarea
Allende,21,61306.4700,7529.9700,53331.4000,52448.5400,882.8600,181.5000,445.1000,Hectarea
Aquiles Serdan,     C,11011.8400,2868.4100,7964.0700,7818.5100,145.5600,0.0000,179.3600,Hectarea
Ascension,21,553860.0000,44624.0000,505152.0000,503655.0000,1497.0000,76.0000,4084.0000,Hectarea
Bachiniva,11,61447.0000,17887.0000,43264.0000,42573.0000,691.0000,133.0000,296.0000,Hectarea
Balleza,20,438779.5000,14972.8400,421101.0700,418676.8200,2424.2500,942.0000,2705.5900,Hectarea
Batopilas,12,194209.7500,20344.0000,172839.0000,172554.0000,285.0000,0.0000,1026.7500,Hectarea
Bocoyna,26,273403.0000,16098.0000,252769.5000,250836.0000,1933.5000,36.0000,4535.5000,Hectarea
Buenaventura,9,248150.0000,20683.0000,226631.0000,224313.0000,2318.0000,20.0000,836.0000,Hectarea
Camargo,24,143800.0000,6757.0000,136836.5000,136023.8300,812.6700,148.5000,206.5000,Hectarea
