INEGI. IX Censo Ejidal 2007,,,,
"Ejidos y comunidades con tractores de su propiedad, segun cantidad y funcionamiento",,,,cuadro 26
por entidad federativa y municipio,,,,
,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,ejidos_y_comunidades_con tractores_en_funcionamiento,cantidad_de_tractores_en_funcionamiento
Yutanduchi de Guerrero,1,1,1,1
Zapotitlan del Rio,1,1,0,0
Zimatlan de alvarez,1,2,1,1
Puebla,50,101,46,96
Ahuehuetitla,1,1,1,1
Atexcal,1,1,1,1
Atlixco,1,1,0,0
Atzitzihuacan,1,2,1,2
Coxcatlan,1,1,1,1
Chietla,4,16,4,16
Chignahuapan,3,4,2,3
Chignautla,2,3,2,3
Chila,1,1,1,1
Domingo Arenas,1,1,1,1
Epatlan,1,1,1,1
Huauchinango,1,1,1,1
Ixtacamaxtitlan,2,3,2,3
Izucar de Matamoros,2,9,2,9
La Magdalena Tlatlauquitepec,1,2,1,2
Cañada Morelos,1,2,1,2
Oriental,1,5,1,5
Petlalcingo,1,1,1,1
San Diego la Mesa Tochimiltzingo,1,1,1,1
San Gabriel Chilac,1,1,1,1
San Nicolas de los Ranchos,1,2,1,2
Tecali de Herrera,1,2,1,2
Tecamachalco,1,1,1,1
Tecomatlan,1,1,0,0
Tehuacan,2,3,2,3
Teopantlan,1,4,1,4
Tepeaca,1,1,1,1
Tilapa,4,14,4,14
Tlachichuca,1,1,1,1
Tlahuapan,1,2,1,2
Tlatlauquitepec,1,2,1,2
Tzicatlacoyan,1,1,0,0
Zacapala,1,1,1,1
Zapotitlan,1,1,1,1
Queretaro,23,48,22,47
Cadereyta de Montes,1,1,1,1
Colon,3,6,3,6
Corregidora,1,3,1,3
Huimilpan,2,2,2,2
El Marques,1,1,0,0
Queretaro,2,8,2,8
San Juan del Rio,11,22,11,22
Tequisquiapan,1,4,1,4
Toliman,1,1,1,1
Quintana Roo,11,14,11,14
Felipe Carrillo Puerto,2,2,2,2
Othon P. Blanco,6,7,6,7
Jose Maria Morelos,2,4,2,4
Solidaridad,1,1,1,1
San Luis Potosi,130,226,123,207
Ahualulco,1,1,1,1
Aquismon,2,2,2,2
Armadillo de los Infante,1,1,1,1
Catorce,1,2,1,1
Cedral,8,10,6,8
Cerritos,1,2,1,2
Cerro de San Pedro,1,2,1,2
Ciudad del Maiz,1,1,1,1
Ciudad Fernandez,3,11,3,11
Tancanhuitz,4,4,3,3
Ciudad Valles,22,38,22,36
Charcas,3,3,3,3
ebano,4,10,4,10
Guadalcazar,3,8,3,8
Matehuala,5,6,5,6
Mexquitic de Carmona,4,7,3,5
Moctezuma,1,2,1,2
Rioverde,4,7,4,7
Salinas,1,2,1,2
San Antonio,1,1,1,1
San Luis Potosi,4,10,4,10
San Martin Chalchicuautla,4,5,4,4
San Nicolas Tolentino,1,1,0,0
Santa Maria del Rio,1,5,1,5
Santo Domingo,1,2,1,2
San Vicente Tancuayalab,4,5,4,5
Soledad de Graciano Sanchez,7,19,7,19
Tamasopo,9,16,9,15
Tampacan,1,2,1,1
Tamuin,5,8,4,6
Tanlajas,3,7,3,5
Tanquian de Escobedo,1,1,1,1
Vanegas,1,1,1,1
Venado,1,2,1,2
Villa de Guadalupe,1,1,1,1
Villa de la Paz,1,1,1,1
Villa de Reyes,5,6,4,5
Villa Hidalgo,3,5,3,5
Villa Juarez,1,1,1,1
Axtla de Terrazas,2,2,2,2
Zaragoza,1,4,1,2
El Naranjo,2,2,2,2
Sinaloa,50,113,45,94
Angostura,1,2,1,2
Badiraguato,1,1,1,1
Concordia,7,14,6,12
Culiacan,2,5,2,5
Elota,8,22,7,16
El Fuerte,4,10,4,9
Guasave,5,14,5,14
Mazatlan,4,5,4,4
Mocorito,4,9,4,9
Rosario,5,9,5,8
Salvador Alvarado,1,6,1,6
San Ignacio,3,5,2,4
Sinaloa,5,11,3,4
Sonora,117,231,109,212
Aconchi,1,1,1,1
Agua Prieta,2,3,2,3
alamos,7,7,7,7
Altar,3,8,2,7
Arivechi,2,6,2,6
Bacum,7,9,7,9
Benjamin Hill,1,2,1,2
Caborca,16,35,15,32
Cajeme,10,28,10,28
La Colorada,1,1,1,1
Cucurpe,1,1,1,1
Cumpas,1,1,1,1
Divisaderos,1,1,1,1
Etchojoa,3,15,3,15
Guaymas,2,4,2,4
Hermosillo,9,15,8,13
Imuris,1,5,1,5
Magdalena,1,1,1,1
Mazatan,1,1,1,1
Nacori Chico,1,1,1,1
Navojoa,6,14,5,10
Nogales,4,6,4,5
Pitiquito,1,2,0,0
Quiriego,2,2,2,2
Rosario,1,2,1,2
Sahuaripa,4,7,3,6
San Luis Rio Colorado,3,5,2,2
San Miguel de Horcasitas,1,1,1,1
Saric,1,1,0,0
Soyopa,1,1,1,1
Suaqui Grande,1,1,1,1
Ures,6,9,6,9
Villa Hidalgo,1,1,1,1
Villa Pesqueira,3,8,3,8
Yecora,2,3,2,2
General Plutarco Elias Calles,2,4,2,4
Benito Juarez,2,5,2,5
San Ignacio Rio Muerto,5,14,5,14
Tabasco,23,56,22,55
Cardenas,11,39,11,39
Centro,1,1,1,1
Comalcalco,1,1,0,0
Emiliano Zapata,2,4,2,4
Huimanguillo,6,7,6,7
Macuspana,1,1,1,1
Tenosique,1,3,1,3
Tamaulipas,38,82,32,71
Altamira,6,16,6,16
Antiguo Morelos,2,3,2,3
Casas,2,7,2,7
Gomez Farias,1,1,1,1
Gonzalez,1,4,1,1
Guerrero,1,3,1,3
Hidalgo,1,1,1,1
Jaumave,2,2,1,1
Llera,1,1,1,1
El Mante,1,1,1,1
Matamoros,1,5,1,5
Nuevo Laredo,1,1,0,0
Ocampo,1,1,0,0
Padilla,2,3,2,3
Reynosa,8,20,7,18
Tampico,1,1,1,1
Valle Hermoso,1,3,1,3
Xicotencatl,5,9,3,6
Tlaxcala,9,15,9,15
Apizaco,1,2,1,2
Españita,1,1,1,1
Teolocholco,1,1,1,1
Tetla de la Solidaridad,2,3,2,3
Tlaxco,1,4,1,4
Zitlaltepec de Trinidad Sanchez Santos,1,1,1,1
Xicohtzinco,1,1,1,1
Emiliano Zapata,1,2,1,2
Veracruz de Ignacio de la Llave,117,186,113,175
Acayucan,1,1,1,1
Altotonga,1,1,1,1
Alvarado,1,1,1,1
Amatlan de los Reyes,2,2,1,1
angel R. Cabada,2,7,2,5
La Antigua,1,2,1,2
Atzalan,1,1,1,1
Tlaltetela,1,1,1,1
Benito Juarez,1,1,1,1
Cazones,1,1,1,1
Coatepec,1,1,1,1
Comapa,2,2,2,2
Cordoba,1,1,1,1
Cosamaloapan de Carpio,5,18,5,18
Cosoleacaque,1,1,1,1
Cotaxtla,1,1,1,1
Chacaltianguis,2,6,2,6
Chalma,1,1,1,1
Chiconamel,2,2,2,2
Chinameca,2,2,2,2
Las Choapas,1,1,1,1
Espinal,2,2,2,2
Fortin,1,2,1,1
Hueyapan de Ocampo,3,5,3,5
Isla,1,1,1,1
Jalacingo,4,9,3,7
Xalapa,1,1,1,1
Jilotepec,1,1,1,1
Lerdo de Tejada,2,11,2,11
Mariano Escobedo,1,1,1,1
Minatitlan,1,1,1,1
Otatitlan,2,5,2,5
Ozuluama de Mascareñas,1,2,1,2
Panuco,7,10,7,10
Paso del Macho,4,5,4,5
Perote,3,5,2,2
Puente Nacional,2,3,2,3
Saltabarranca,1,2,1,2
San Andres Tuxtla,2,2,2,2
Santiago Tuxtla,1,1,1,1
Soledad de Doblado,2,3,1,1
Soteapan,1,1,1,1
Tamiahua,10,11,10,11
Tancoco,1,1,1,1
