INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades con superficie de uso comun segun uso agricola,,,,,,cuadro 4,
por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_superficie_de_uso_comun,superficie_de_uso_comun_(ha),ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_total,,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_sembrada_en_2007,ejidos_y_comunidades_con_superficie_de_uso_comun_utilizada_para_la_agricultura_para_sembrarse_solo_por_uno_o_dos_años,unidad_de_medida
Leon,34,9637.2100,3,2,2,0,Hectarea
Moroleon,7,949.7500,0,0,0,0,Hectarea
Ocampo,16,8737.3000,0,0,0,0,Hectarea
Penjamo,108,18583.8700,3,3,3,0,Hectarea
Pueblo Nuevo,5,439.6700,1,0,0,0,Hectarea
Purisima Del Rincon,10,1943.9400,0,0,0,0,Hectarea
Romita,36,2476.5800,2,2,2,0,Hectarea
Salamanca,36,5397.3900,1,1,1,1,Hectarea
Salvatierra,41,8887.8600,8,5,5,2,Hectarea
San Diego de la Union,33,28496.0000,3,2,2,0,Hectarea
San Felipe,76,98501.1700,8,7,7,0,Hectarea
San Francisco Del Rincon,19,1419.6600,1,1,1,0,Hectarea
San Jose Iturbide,3,7363.1300,0,0,0,0,Hectarea
San Luis de la Paz,21,31593.3600,2,2,2,1,Hectarea
Santa Catarina,2,2425.8700,1,1,1,0,Hectarea
Santa Cruz de Juventino Rosas,18,8037.4400,1,1,1,0,Hectarea
Santiago Maravatio,8,1271.3900,0,0,0,0,Hectarea
Silao,32,2770.1900,3,3,3,0,Hectarea
Tarandacuao,3,332.2100,0,0,0,0,Hectarea
Tarimoro,10,5663.2800,0,0,0,0,Hectarea
Tierra Blanca,3,6173.2500,0,0,0,0,Hectarea
Uriangato,7,225.8900,1,1,1,0,Hectarea
Valle de Santiago,67,9964.3000,6,5,5,0,Hectarea
Victoria,15,25131.4800,4,4,4,1,Hectarea
Villagran,1,42.0000,1,1,1,0,Hectarea
Xichu,14,68747.7000,4,4,4,0,Hectarea
Yuriria,46,8466.0100,13,11,11,2,Hectarea
Guerrero,967,2773964.7100,393,354,354,110,Hectarea
Acapulco de Juarez,31,58188.6100,16,13,13,10,Hectarea
Ahuacuotzingo,23,23311.3100,6,6,6,0,Hectarea
Ajuchitlan Del Progreso,32,154023.4600,18,17,17,8,Hectarea
Alcozauca de Guerrero,14,30368.3600,12,11,11,3,Hectarea
Alpoyeca,4,7351.2000,3,3,3,0,Hectarea
Apaxtla,2,48.0000,0,0,0,0,Hectarea
Arcelia,15,5957.2800,3,3,3,1,Hectarea
Atenango Del Rio,14,31637.7600,3,3,3,1,Hectarea
Atlamajalcingo Del Monte,7,9970.0000,5,5,5,0,Hectarea
Atlixtac,5,51881.0000,5,5,5,2,Hectarea
Atoyac de alvarez,28,100659.5000,26,16,16,3,Hectarea
Ayutla de los Libres,16,52555.3200,3,3,3,3,Hectarea
Azoyu,2,412.8200,0,0,0,0,Hectarea
Buenavista de Cuellar,5,3827.4000,2,2,2,1,Hectarea
Coahuayutla de Jose Maria Izazaga,23,62171.7800,7,7,7,5,Hectarea
Cocula,15,12489.6200,7,6,6,0,Hectarea
Copala,1,3026.4000,1,1,1,0,Hectarea
Copalillo,9,41220.0000,1,1,1,0,Hectarea
Copanatoyac,8,28225.4300,4,4,4,1,Hectarea
Coyuca de Benitez,17,63144.2000,7,6,6,5,Hectarea
Coyuca de Catalan,53,229337.2000,15,15,15,9,Hectarea
Cuajinicuilapa,1,1518.0000,1,1,1,0,Hectarea
Cualac,1,11000.0000,1,1,1,0,Hectarea
Cuautepec,3,15120.4100,0,0,0,0,Hectarea
Cuetzala Del Progreso,10,11659.5500,2,1,1,1,Hectarea
Cutzamala de Pinzon,19,12706.2200,3,3,3,1,Hectarea
Chilapa de alvarez,38,36073.7600,13,13,13,1,Hectarea
Chilpancingo de los Bravo,31,116172.5900,15,14,14,4,Hectarea
Florencio Villarreal,1,345.7000,0,0,0,0,Hectarea
General Canuto A. Neri,2,9667.0000,1,1,1,0,Hectarea
General Heliodoro Castillo,7,188899.3700,5,5,5,1,Hectarea
Huamuxtitlan,7,16304.3200,6,6,6,1,Hectarea
Huitzuco de los Figueroa,21,83725.6700,6,5,5,1,Hectarea
Iguala de la Independencia,12,7920.0200,3,3,3,0,Hectarea
