INEGI. IX Censo Ejidal 2007,,,,,,,
Ejidos y comunidades medidos por alguna institucion o empresa segun hayan optado,,,,,,cuadro 37,
por el dominio pleno de sus tierras por entidad federativa y municipio,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_medidos,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_para_todo_el_ejido_o_comunidad_,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_total,ejidos_y_comunidades_que_optaron_por_el_dominio_pleno_solo_para_una_parte_del_ejido_ejidatarios,superficie_en_dominio_pleno_(ha),unidad_de_medida
Acambaro,60,10,4,6,47,256.3900,Hectarea
San Miguel de Allende,54,25,21,4,71,3043.2800,Hectarea
Apaseo el Alto,27,7,1,6,209,639.3300,Hectarea
Apaseo el Grande,34,10,2,8,185,1304.2900,Hectarea
Atarjea,6,0,0,0,0,0.0000,Hectarea
Celaya,38,14,0,14,389,2129.2000,Hectarea
Manuel Doblado,31,0,0,0,0,0.0000,Hectarea
Comonfort,31,12,6,6,60,706.0000,Hectarea
Coroneo,3,0,0,0,0,0.0000,Hectarea
Cortazar,21,10,0,10,79,256.0000,Hectarea
Cueramaro,14,2,1,1,8,20.0000,Hectarea
Doctor Mora,3,2,2,0,0,255.0000,Hectarea
Dolores Hidalgo Cuna de la Independencia Nal.,52,17,8,9,90,586.9100,Hectarea
Guanajuato,27,10,1,9,133,844.0000,Hectarea
Huanimaro,18,0,0,0,0,0.0000,Hectarea
Irapuato,75,24,3,21,296,3471.0000,Hectarea
Jaral del Progreso,14,5,2,3,26,129.0000,Hectarea
Jerecuaro,42,0,0,0,0,0.0000,Hectarea
Leon,48,29,3,26,887,7195.4400,Hectarea
Moroleon,6,1,0,1,20,117.0000,Hectarea
Ocampo,15,2,2,0,0,10.4600,Hectarea
Penjamo,141,13,8,5,40,1079.8400,Hectarea
Pueblo Nuevo,6,0,0,0,0,0.0000,Hectarea
Purisima del Rincon,11,1,0,1,40,77.0000,Hectarea
Romita,43,6,0,6,107,477.0000,Hectarea
Salamanca,50,21,0,21,290,1161.5000,Hectarea
Salvatierra,53,5,0,5,21,24.0000,Hectarea
San Diego de la Union,30,5,2,3,34,251.0000,Hectarea
San Felipe,73,4,4,0,0,234.0000,Hectarea
San Francisco del Rincon,26,2,0,2,19,22.0000,Hectarea
San Jose Iturbide,3,1,0,1,25,100.0000,Hectarea
San Luis de la Paz,19,3,3,0,0,52.0000,Hectarea
Santa Catarina,2,0,0,0,0,0.0000,Hectarea
Santa Cruz de Juventino Rosas,24,6,0,6,99,288.0000,Hectarea
Santiago Maravatio,7,0,0,0,0,0.0000,Hectarea
Silao,64,32,5,27,502,3611.1900,Hectarea
Tarandacuao,3,1,0,1,3,9.7500,Hectarea
Tarimoro,13,4,0,4,18,51.0000,Hectarea
Tierra Blanca,3,2,2,0,0,328.0000,Hectarea
Uriangato,8,3,1,2,28,314.0000,Hectarea
Valle de Santiago,94,15,2,13,92,499.2000,Hectarea
Victoria,11,0,0,0,0,0.0000,Hectarea
Villagran,11,4,0,4,73,407.4800,Hectarea
Xichu,9,1,0,1,64,562.9700,Hectarea
Yuriria,50,11,5,6,74,360.5000,Hectarea
Guerrero,1147,207,156,51,3332,279401.4000,Hectarea
Acapulco de Juarez,38,11,8,3,242,9332.1400,Hectarea
Ahuacuotzingo,27,0,0,0,0,0.0000,Hectarea
Ajuchitlan del Progreso,35,0,0,0,0,0.0000,Hectarea
Alcozauca de Guerrero,11,2,2,0,0,0.0000,Hectarea
Alpoyeca,5,1,0,1,1,1.0000,Hectarea
Apaxtla,4,0,0,0,0,0.0000,Hectarea
Arcelia,23,0,0,0,0,0.0000,Hectarea
Atenango del Rio,14,0,0,0,0,0.0000,Hectarea
Atlamajalcingo del Monte,6,5,5,0,0,9215.0000,Hectarea
Atlixtac,3,1,1,0,0,643.0000,Hectarea
Atoyac de alvarez,32,11,9,2,17,17761.9300,Hectarea
Ayutla de los Libres,26,17,11,6,439,9938.8000,Hectarea
Azoyu,10,2,2,0,0,3736.1800,Hectarea
Benito Juarez,6,0,0,0,0,0.0000,Hectarea
Buenavista de Cuellar,7,6,2,4,67,1973.0000,Hectarea
Coahuayutla de Jose Maria Izazaga,32,1,0,1,3,20.0000,Hectarea
Cocula,16,1,0,1,1,2.0000,Hectarea
Copala,4,1,1,0,0,2363.0000,Hectarea
Copalillo,9,0,0,0,0,0.0000,Hectarea
Copanatoyac,6,0,0,0,0,0.0000,Hectarea
Coyuca de Benitez,31,5,4,1,10,198.0000,Hectarea
Coyuca de Catalan,51,0,0,0,0,0.0000,Hectarea
Cuajinicuilapa,11,10,10,0,0,24853.1500,Hectarea
Cualac,1,0,0,0,0,0.0000,Hectarea
Cuautepec,2,0,0,0,0,0.0000,Hectarea
Cuetzala del Progreso,12,1,0,1,134,1200.0000,Hectarea
Cutzamala de Pinzon,32,0,0,0,0,0.0000,Hectarea
Chilapa de alvarez,43,9,5,4,289,992.4400,Hectarea
Chilpancingo de los Bravo,28,3,0,3,115,210.0000,Hectarea
Florencio Villarreal,1,0,0,0,0,0.0000,Hectarea
General Canuto A. Neri,5,5,5,0,0,12229.1600,Hectarea
General Heliodoro Castillo,4,0,0,0,0,0.0000,Hectarea
Huamuxtitlan,7,7,6,1,250,1523.4600,Hectarea
Huitzuco de los Figueroa,20,0,0,0,0,0.0000,Hectarea
Iguala de la Independencia,15,2,1,1,1,616.0000,Hectarea
Igualapa,6,0,0,0,0,0.0000,Hectarea
Jose Azueta,18,2,0,2,18,70.0000,Hectarea
Juan R. Escudero,11,1,0,1,100,3.0000,Hectarea
Leonardo Bravo,14,0,0,0,0,0.0000,Hectarea
Malinaltepec,6,0,0,0,0,0.0000,Hectarea
Martir de Cuilapan,7,3,2,1,400,1250.0000,Hectarea
Metlatonoc,5,0,0,0,0,0.0000,Hectarea
Mochitlan,25,0,0,0,0,0.0000,Hectarea
Olinala ,5,0,0,0,0,0.0000,Hectarea
Ometepec,26,0,0,0,0,0.0000,Hectarea
Petatlan,27,3,1,2,9,385.0000,Hectarea
Pilcaya,6,0,0,0,0,0.0000,Hectarea
Pungarabato,9,0,0,0,0,0.0000,Hectarea
Quechultenango,25,1,1,0,0,0.0000,Hectarea
San Luis Acatlan,19,11,11,0,0,27652.9800,Hectarea
San Marcos,32,21,21,0,0,31982.6800,Hectarea
San Miguel Totolapan,7,0,0,0,0,0.0000,Hectarea
Taxco de Alarcon,21,5,5,0,0,555.6500,Hectarea
Tecoanapa,33,14,7,7,549,7555.8600,Hectarea
Tecpan de Galeana,25,0,0,0,0,0.0000,Hectarea
