INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,,,,
Total de ejidos y comunidades segun tipo de actividad agropecuaria o forestal,,,,,,,,,,,,,,,CUADRO 18
y forma de explotacion por entidad federativa y municipio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
entidada_federativa_y _municipio,ejidos_y_comunidades,actividad_agropecuaria_o_forestal_a_total_de_ejidos_y_comunidades_con_actividad_agropecuaria_o_forestal,actividad_agropecuaria_o_forestal_a_agricola_total,actividad_agropecuaria_o_forestal_a_agricola_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_agricola_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_ganadera_total,actividad_agropecuaria_o_forestal_a_ganadera_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_ganadera_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_forestal_total,actividad_agropecuaria_o_forestal_a_forestal_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_forestal_en_forma_colectiva,actividad_agropecuaria_o_forestal_a_recoleccion_total,actividad_agropecuaria_o_forestal_a_realizada_por_la_mayoria,actividad_agropecuaria_o_forestal_a_en_forma_colectiva,sin actividades_de_este_tipo
San Pedro y San Pablo Teposcolula,7,7,7,6,2,3,0,0,0,0,0,5,2,0,0
San Pedro y San Pablo Tequixtepec,8,8,8,8,0,7,3,0,2,2,1,5,3,0,0
San Pedro Yucunama,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
San Raymundo Jalpan,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
San Sebastian Abasolo,C,C,2,2,1,1,1,0,0,0,0,1,1,0,C
San Sebastian Coatlan,C,C,1,1,0,0,0,0,1,1,1,1,0,0,C
San Sebastian Ixcapa,7,7,7,5,0,7,7,0,0,0,0,0,0,0,0
San Sebastian Nicananduta,C,C,1,1,1,1,0,0,0,0,0,1,0,0,C
San Sebastian Rio Hondo,4,4,4,4,1,4,0,1,2,1,0,3,2,1,0
San Sebastian Tecomaxtlahuaca,3,3,3,1,1,3,1,0,1,1,0,0,0,0,0
San Sebastian Teitipac,C,C,2,2,0,2,2,0,0,0,0,0,0,0,C
San Sebastian Tutla,C,C,1,1,0,2,0,0,0,0,0,0,0,0,C
San Simon Almolongas,C,C,2,2,0,2,0,0,0,0,0,0,0,0,C
San Simon Zahuatlan,C,C,1,0,0,0,0,0,0,0,0,1,1,0,C
Santa Ana,C,C,1,1,0,0,0,0,0,0,0,1,0,1,C
Santa Ana Cuauhtemoc,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santa Ana del Valle,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Ana Tavela,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
Santa Ana Tlapacoyan,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
Santa Ana Yareni,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Ana Zegache,C,C,2,2,0,1,0,0,0,0,0,1,1,0,C
Santa Catalina Quieri,C,C,1,0,0,0,0,0,1,0,1,1,0,0,C
Santa Catarina Cuixtla,C,C,1,0,0,0,0,0,0,0,0,0,0,0,C
Santa Catarina Ixtepeji,C,C,2,1,0,2,1,0,1,1,0,2,0,0,C
Santa Catarina Juquila,6,6,6,6,0,5,1,0,0,0,0,2,2,0,0
Santa Catarina Lachatao,C,C,1,1,1,1,0,0,1,1,1,0,0,0,C
Santa Catarina Loxicha,C,C,1,0,0,1,0,0,1,1,1,1,0,0,C
Santa Catarina Mechoacan,C,C,1,1,1,1,1,1,0,0,0,0,0,0,C
Santa Catarina Minas,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Santa Catarina Quiane,C,C,2,2,0,2,2,0,0,0,0,0,0,0,C
Santa Catarina Tayata,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santa Catarina Ticua,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santa Catarina Yosonotu,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santa Catarina Zapoquila,3,3,3,3,0,3,3,0,0,0,0,1,0,0,0
Santa Cruz Amilpas,C,C,2,1,1,1,0,0,0,0,0,0,0,0,C
Santa Cruz Itundujia,C,C,2,2,0,0,0,0,2,2,2,2,1,0,C
Santa Cruz Mixtepec,4,4,4,4,0,3,2,0,0,0,0,1,1,0,0
Santa Cruz Nundaco,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Cruz Papalutla,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Cruz Tacache de Mina,C,C,2,2,0,2,0,0,0,0,0,0,0,0,C
Santa Cruz Tacahua,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santa Cruz Tayata,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santa Cruz Xitla,C,C,1,1,0,0,0,0,0,0,0,1,0,0,C
Santa Cruz Xoxocotlan,5,4,4,4,0,3,2,1,0,0,0,1,1,1,1
Santa Cruz Zenzontepec,C,C,1,1,0,1,0,0,1,0,1,0,0,0,C
Santa Gertrudis,5,5,5,5,1,3,3,0,0,0,0,0,0,0,0
Santa Ines del Monte,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santa Lucia del Camino,C,C,2,2,0,2,2,0,0,0,0,0,0,0,C
Santa Lucia Miahuatlan,C,C,1,1,0,1,1,0,1,1,0,1,1,0,C
Santa Lucia Monteverde,4,4,4,4,0,2,0,0,2,1,0,2,2,2,0
Santa Lucia Ocotlan,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Maria Alotepec,3,3,3,2,0,3,0,0,1,0,0,1,1,0,0
Santa Maria Apazco,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Heroica Ciudad de Tlaxiaco,8,8,8,7,3,3,2,0,2,1,2,2,2,0,0
Ayoquezco de Aldama,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Maria Atzompa,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Camotlan,C,C,1,0,0,1,0,0,0,0,0,1,0,0,C
Santa Maria Colotepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Maria Cortijo,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santa Maria Coyotepec,C,C,2,2,1,2,2,0,0,0,0,1,1,0,C
Santa Maria Chachoapam,C,C,1,1,0,2,1,0,0,0,0,1,1,0,C
Villa de Chilapa de Diaz,4,4,4,4,2,1,0,0,0,0,0,1,0,0,0
Santa Maria Chilchotla,5,5,5,4,0,4,1,0,1,0,0,0,0,0,0
Santa Maria Chimalapa,3,3,3,2,0,2,2,0,1,1,0,0,0,0,0
Santa Maria del Rosario,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santa Maria del Tule,3,3,3,3,1,2,2,0,0,0,0,1,1,0,0
Santa Maria Ecatepec,9,9,9,9,0,6,0,0,0,0,0,5,5,1,0
Santa Maria Guelace,C,C,1,1,0,0,0,0,0,0,0,1,1,0,C
Santa Maria Guienagati,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Santa Maria Huatulco,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santa Maria Huazolotitlan,6,6,6,5,0,6,6,0,0,0,0,3,3,0,0
Santa Maria Ipalapa,3,3,3,3,0,3,2,0,1,1,0,2,2,1,0
Santa Maria Ixcatlan,C,C,1,1,0,1,1,0,1,1,1,1,0,0,C
Santa Maria Jacatepec,15,15,15,14,0,13,7,0,7,3,0,13,9,1,0
Santa Maria Jalapa del Marques,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Maria Jaltianguis,C,C,1,1,0,1,1,0,1,1,0,1,1,0,C
Santa Maria Mixtequilla,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santa Maria Nativitas,C,C,1,1,1,1,0,0,0,0,0,1,0,0,C
Santa Maria Nduayaco,3,3,3,3,0,3,1,0,0,0,0,2,2,0,0
Santa Maria Papalo,C,C,1,1,0,1,0,0,1,0,0,1,1,1,C
Santa Maria Peñoles,4,4,4,4,0,3,0,0,1,1,1,0,0,0,0
Santa Maria Petapa,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Maria Quiegolani,C,C,2,2,0,2,0,0,1,0,0,1,0,0,C
Santa Maria Sola,4,4,4,4,0,3,1,0,2,2,0,3,3,0,0
Santa Maria Tataltepec,C,C,1,1,1,1,1,0,0,0,0,1,1,0,C
Santa Maria Tecomavaca,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Santa Maria Temaxcalapa,C,C,1,1,0,0,0,0,0,0,0,1,1,0,C
Santa Maria Temaxcaltepec,C,C,1,1,0,1,1,0,1,1,0,1,1,0,C
Santa Maria Teopoxco,C,C,1,1,0,0,0,0,1,0,0,0,0,0,C
Santa Maria Tepantlali,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Santa Maria Texcatitlan,C,C,1,1,0,0,0,0,1,1,0,1,1,0,C
Santa Maria Tlahuitoltepec,C,C,2,1,0,0,0,0,2,0,1,1,0,0,C
Santa Maria Tlalixtac,C,C,1,1,0,1,0,0,1,1,0,0,0,0,C
Santa Maria Tonameca,C,C,2,2,0,2,1,0,2,1,0,1,1,1,C
Santa Maria Totolapilla,C,C,1,0,0,1,1,0,0,0,0,0,0,0,C
Santa Maria Yalina,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santa Maria Yolotepec,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
Santa Maria Yosoyua,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santa Maria Yucuhiti,C,C,2,2,1,1,0,0,1,0,0,0,0,0,C
Santa Maria Zacatepec,C,C,1,1,0,1,1,0,1,0,0,1,1,0,C
Santa Maria Zaniza,C,C,1,1,0,0,0,0,1,1,0,1,0,0,C
Santa Maria Zoquitlan,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Santiago Amoltepec,C,C,1,1,0,1,0,0,1,1,1,0,0,0,C
Santiago Apoala,C,C,1,1,1,1,0,0,0,0,0,1,1,0,C
Santiago Astata,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Santiago Atitlan,C,C,1,1,0,1,0,0,1,0,0,1,0,0,C
Santiago Ayuquililla,C,C,2,2,0,2,0,0,0,0,0,0,0,0,C
Santiago Cacaloxtepec,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santiago Camotlan,4,4,4,4,0,3,0,0,2,1,1,3,3,0,0
Santiago Comaltepec,C,C,2,2,0,2,0,0,1,0,1,1,1,1,C
Santiago Chazumba,10,10,9,7,3,10,2,0,2,2,1,8,5,0,0
Santiago Choapam,6,6,6,6,1,6,0,0,3,3,0,1,0,0,0
Santiago del Rio,C,C,2,1,0,2,0,0,0,0,0,0,0,0,C
Santiago Huajolotitlan,7,7,7,6,0,6,1,0,1,1,1,2,2,0,0
Santiago Huauclilla,4,4,4,4,3,3,0,0,0,0,0,1,0,0,0
Santiago Ihuitlan Plumas,C,C,2,2,1,2,1,1,0,0,0,1,0,0,C
Santiago Ixcuintepec,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santiago Ixtayutla,7,7,7,7,0,4,2,0,4,3,2,0,0,0,0
Santiago Jamiltepec,6,6,6,5,0,6,5,1,1,1,1,3,2,0,0
Santiago Jocotepec,23,23,20,18,0,22,15,0,9,6,2,16,13,1,0
Santiago Juxtlahuaca,10,10,10,8,5,9,5,1,5,5,4,5,5,2,0
Santiago Lachiguiri,C,C,2,2,0,2,0,0,0,0,0,0,0,0,C
Santiago Lalopa,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
Santiago Laollaga,C,C,2,2,0,2,2,0,0,0,0,1,1,0,C
Santiago Laxopa,3,3,3,3,0,3,3,0,3,3,1,3,2,0,0
Santiago Llano Grande,3,3,2,2,0,3,2,0,0,0,0,1,0,0,0
Santiago Matatlan,3,3,3,2,0,2,0,0,0,0,0,1,1,0,0
Santiago Minas,C,C,1,0,0,1,1,0,0,0,0,0,0,0,C
Santiago Nacaltepec,5,5,5,5,0,4,0,0,0,0,0,1,1,0,0
Santiago Nejapilla,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santiago Nundiche,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santiago Nuyoo,3,3,3,3,0,3,0,0,0,0,0,1,1,0,0
Santiago Pinotepa Nacional,23,23,22,19,0,21,12,0,4,1,1,7,6,1,0
Santiago Suchilquitongo,6,6,6,6,1,6,2,0,1,1,0,2,1,0,0
Santiago Tamazola,4,4,4,3,0,4,1,0,0,0,0,2,0,0,0
Santiago Tapextla,3,3,3,2,0,3,2,0,0,0,0,0,0,0,0
Villa Tejupam de la Union,C,C,1,0,0,1,0,0,0,0,0,1,0,0,C
Santiago Tenango,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
Santiago Tepetlapa,C,C,1,1,1,1,0,0,0,0,0,0,0,0,C
Santiago Tetepec,6,6,5,4,1,6,2,0,1,1,0,0,0,0,0
Santiago Texcalcingo,C,C,1,1,0,1,0,0,1,0,0,0,0,0,C
Santiago Textitlan,C,C,2,2,0,2,1,0,1,1,1,1,1,0,C
Santiago Tilantongo,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santiago Tillo,C,C,2,2,0,2,0,0,0,0,0,1,0,0,C
Santiago Tlazoyaltepec,C,C,1,1,1,0,0,0,0,0,0,1,1,1,C
Santiago Xanica,C,C,2,2,0,1,0,0,2,1,1,0,0,0,C
Santiago Xiacui,3,3,3,2,1,2,1,1,3,1,3,2,1,1,0
Santiago Yaitepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santiago Yaveo,8,8,8,7,0,8,6,1,1,1,1,1,0,0,0
Santiago Yosondua,4,4,4,4,0,2,0,0,2,2,1,2,1,0,0
Santiago Yucuyachi,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santiago Zacatepec,3,3,3,3,0,0,0,0,2,1,0,1,0,0,0
Santiago Zoochila,C,C,1,1,1,1,0,0,0,0,0,1,0,0,C
Nuevo Zoquiapam,C,C,1,1,1,1,0,0,1,1,1,1,0,0,C
Santo Domingo Ingenio,C,C,1,0,0,1,0,0,0,0,0,1,0,0,C
Santo Domingo Albarradas,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Santo Domingo Armenta,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Santo Domingo Chihuitan,C,C,1,1,0,1,1,0,0,0,0,1,0,0,C
Santo Domingo de Morelos,C,C,1,1,1,1,0,0,0,0,0,1,1,1,C
Santo Domingo Ixcatlan,C,C,1,1,0,0,0,0,1,1,0,0,0,0,C
Santo Domingo Nuxaa,C,C,1,1,0,1,0,0,1,0,0,1,0,0,C
Santo Domingo Ozolotepec,C,C,1,1,0,1,1,0,1,1,1,0,0,0,C
Santo Domingo Petapa,C,C,1,1,0,1,0,0,1,0,0,1,1,0,C
Santo Domingo Roayaga,C,C,2,2,0,2,1,0,2,0,0,2,2,1,C
Santo Domingo Tehuantepec,17,17,17,16,0,16,7,2,3,2,2,9,6,1,0
Santo Domingo Teojomulco,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Santo Domingo Tepuxtepec,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santo Domingo Tlatayapam,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santo Domingo Tomaltepec,C,C,2,1,1,0,0,0,0,0,0,0,0,0,C
Santo Domingo Tonala,4,4,4,3,0,4,0,0,0,0,0,2,1,0,0
Santo Domingo Tonaltepec,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Santo Domingo Xagacia,C,C,1,1,0,1,0,0,1,0,0,1,0,0,C
Santo Domingo Yanhuitlan,C,C,1,1,0,1,0,0,0,0,0,1,0,0,C
Santo Domingo Zanatepec,6,6,6,5,2,6,5,1,0,0,0,2,2,0,0
Santos Reyes Nopala,4,4,4,3,1,4,2,1,1,1,1,1,1,1,0
Santos Reyes Papalo,C,C,1,1,0,1,1,0,0,0,0,1,1,0,C
Santos Reyes Tepejillo,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Santos Reyes Yucuna,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Santo Tomas Jalieza,5,5,5,4,0,3,2,0,1,0,0,3,1,0,0
Santo Tomas Mazaltepec,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Santo Tomas Ocotepec,C,C,1,1,0,0,0,0,0,0,0,1,0,0,C
San Vicente Coatlan,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Vicente Lachixio,C,C,2,2,0,2,1,0,2,2,1,1,1,0,C
San Vicente Nuñu,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Silacayoapam,9,9,9,8,0,6,1,0,2,1,1,1,1,0,0
Soledad Etla,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Villa de Tamazulapam del Progreso,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Tanetze de Zaragoza,C,C,2,1,0,1,0,1,1,0,1,1,1,0,C
Taniche,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Tataltepec de Valdes,C,C,2,2,0,2,0,0,1,0,0,0,0,0,C
Teococuilco de Marcos Perez,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Teotitlan de Flores Magon,C,C,2,1,0,2,0,0,0,0,0,0,0,0,C
Teotitlan del Valle,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
Teotongo,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Tepelmeme Villa de Morelos,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Tezoatlan de Segura y Luna,9,9,9,9,0,9,2,0,0,0,0,5,2,1,0
San Jeronimo Tlacochahuaya,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0
Tlacolula de Matamoros,6,6,6,6,0,5,1,0,1,1,0,1,1,0,0
Tlacotepec Plumas,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Tlalixtac de Cabrera,C,C,2,2,0,2,1,0,0,0,0,0,0,0,C
Totontepec Villa de Morelos,11,11,11,10,0,5,2,0,9,7,1,4,1,0,0
Trinidad Zaachila,5,5,5,5,0,2,1,0,0,0,0,0,0,0,0
La Trinidad Vista Hermosa,C,C,1,0,0,1,0,0,0,0,0,0,0,0,C
Valerio Trujano,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
San Juan Bautista Valle Nacional,24,24,23,22,2,19,8,0,3,2,0,18,14,0,0
Villa Diaz Ordaz,3,3,3,3,0,3,0,0,1,1,1,1,0,0,0
Yaxe,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Magdalena Yodocono de Porfirio Diaz,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Yogana,C,C,2,1,0,1,1,0,0,0,0,1,1,0,C
Yutanduchi de Guerrero,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Villa de Zaachila,3,3,3,3,0,2,2,0,0,0,0,0,0,0,0
Zapotitlan del Rio,C,C,2,1,0,1,0,0,0,0,0,1,1,0,C
Zapotitlan Lagunas,C,C,1,0,0,1,0,0,0,0,0,1,1,0,C
Zapotitlan Palmas,C,C,2,2,1,2,1,0,0,0,0,1,1,0,C
Santa Ines de Zaragoza,C,C,1,1,0,1,1,0,0,0,0,1,0,0,C
Zimatlan de alvarez,8,8,7,6,0,6,2,0,5,4,2,3,3,0,0
Puebla,1194,1185,1150,1047,93,692,221,31,160,141,106,315,208,32,9
Acajete,8,8,8,8,0,3,0,0,0,0,0,1,1,1,0
Acateno,4,4,4,4,0,2,0,0,0,0,0,4,4,0,0
Acatlan,16,16,16,13,0,13,1,0,0,0,0,6,4,0,0
Acatzingo,9,9,9,9,1,4,1,0,1,1,0,2,2,0,0
Acteopan,C,C,1,1,0,3,1,0,2,2,2,0,0,0,C
Ahuacatlan,C,C,1,1,0,1,0,0,1,0,0,0,0,0,C
Ahuatlan,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Ahuazotepec,6,6,6,6,2,4,1,1,4,4,4,2,2,2,0
Ahuehuetitla,3,3,3,2,0,2,1,0,0,0,0,1,0,0,0
Ajalpan,10,10,10,8,1,3,1,0,2,2,1,4,3,0,0
Albino Zertuche,C,C,1,1,0,0,0,0,0,0,0,1,1,0,C
Aljojuca,4,4,4,3,0,2,0,1,0,0,0,2,2,0,0
Altepexi,C,C,2,2,0,1,0,0,0,0,0,2,1,0,C
Amixtlan,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Amozoc,7,7,7,7,0,3,2,0,0,0,0,1,1,0,0
Aquixtla,5,5,2,1,0,1,0,0,4,4,4,2,2,1,0
Atexcal,9,9,8,7,1,3,3,1,1,1,0,0,0,0,0
Atlixco,29,29,29,29,2,12,0,2,2,0,1,2,0,0,0
Atoyatempan,C,C,1,1,0,1,1,0,0,0,0,1,0,0,C
Atzala,C,C,1,1,0,1,0,0,0,0,0,0,0,0,C
Atzitzihuacan,9,9,9,9,0,6,3,0,1,1,1,0,0,0,0
Atzitzintla,5,5,5,5,0,4,0,0,2,2,0,0,0,0,0
Axutla,C,C,1,0,0,1,0,0,0,0,0,1,0,0,C
Ayotoxco de Guerrero,3,3,3,2,0,2,0,0,0,0,0,3,0,0,0
Calpan,3,3,2,2,0,0,0,0,2,2,2,0,0,0,0
Caltepec,9,9,8,6,1,8,3,1,0,0,0,1,0,0,0
Camocuautla,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Caxhuacan,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Coatzingo,C,C,2,2,0,0,0,0,0,0,0,0,0,0,C
Cohetzala,3,3,3,3,0,3,1,0,1,1,0,0,0,0,0
Cohuecan,C,C,2,1,0,2,1,0,1,1,0,0,0,0,C
Coronango,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0
Coxcatlan,9,9,9,8,1,4,2,1,1,1,0,5,4,1,0
Coyomeapan,3,3,3,2,0,2,1,0,0,0,0,0,0,0,0
Coyotepec,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0
Cuapiaxtla de Madero,C,C,1,1,0,1,1,0,0,0,0,0,0,0,C
Cuautempan,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Cuautinchan,7,7,7,7,0,5,0,0,0,0,0,2,1,1,0
Cuautlancingo,3,3,3,3,0,2,1,0,0,0,0,0,0,0,0
Cuayuca de Andrade,5,5,5,5,0,4,3,0,0,0,0,1,0,0,0
Cuetzalan del Progreso,C,C,1,1,0,1,0,0,1,1,1,2,1,0,C
Cuyoaco,11,11,11,11,0,7,0,0,1,1,1,11,8,0,0
Chalchicomula de Sesma,24,24,24,24,7,20,7,2,4,3,2,2,0,0,0
Chapulco,C,C,2,1,0,2,0,0,1,0,0,1,0,0,C
Chiautla,6,6,5,4,0,2,1,0,0,0,0,3,2,0,0
Chiautzingo,5,5,5,5,0,1,0,0,2,2,0,2,2,0,0
Chiconcuautla,C,C,1,1,0,0,0,0,1,1,0,0,0,0,C
Chietla,21,20,20,19,1,18,1,0,1,1,1,2,1,0,1
Chignahuapan,45,45,41,41,2,37,18,0,34,34,30,6,5,2,0
Chignautla,C,C,2,2,1,2,2,1,0,0,0,0,0,0,C
Chila,4,4,4,4,3,2,1,2,0,0,0,0,0,0,0
Chila de la Sal,C,C,1,0,0,0,0,0,0,0,0,1,1,0,C
Honey,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Chilchotla,C,C,2,2,0,2,1,0,1,0,0,0,0,0,C
Chinantla,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0
Domingo Arenas,C,C,2,2,0,0,0,0,0,0,0,0,0,0,C
Eloxochitlan,C,C,2,2,0,1,0,0,1,0,0,1,1,1,C
Epatlan,4,4,4,3,1,2,0,0,0,0,0,2,1,0,0
Esperanza,9,9,9,8,0,7,3,0,2,2,1,0,0,0,0
Francisco Z. Mena,21,21,20,20,3,12,4,1,0,0,0,4,1,0,0
General Felipe angeles,5,5,5,5,0,4,1,0,0,0,0,1,0,0,0
Guadalupe,3,3,3,1,0,2,0,0,0,0,0,0,0,0,0
Guadalupe Victoria,10,10,10,8,1,7,4,1,1,1,1,4,3,1,0
Huaquechula,26,25,25,22,3,12,1,2,0,0,0,2,0,1,1
Huatlatlauca,8,8,8,8,0,6,2,0,0,0,0,1,0,0,0
Huauchinango,4,4,4,3,0,0,0,0,2,2,2,3,1,0,0
Huehuetlan el Chico,4,4,4,4,0,3,1,0,0,0,0,2,2,0,0
Huejotzingo,11,11,11,10,1,5,4,1,1,1,0,5,3,1,0
Hueytamalco,9,9,9,8,0,5,1,1,0,0,0,9,2,1,0
Hueytlalpan,C,C,2,1,0,0,0,0,0,0,0,0,0,0,C
Huitzilan de Serdan,C,C,2,1,0,0,0,0,0,0,0,1,1,0,C
Ixcamilpa de Guerrero,4,4,4,4,0,2,1,0,0,0,0,2,1,0,0
Ixcaquixtla,7,7,7,6,0,3,2,0,0,0,0,0,0,0,0
Ixtacamaxtitlan,24,24,23,23,7,10,8,0,13,12,11,2,1,0,0
Izucar de Matamoros,26,26,26,21,1,15,3,0,0,0,0,7,5,2,0
Jalpan,7,7,6,6,0,4,1,1,1,0,0,2,2,0,0
Jolalpan,9,9,9,9,0,9,9,1,2,2,0,8,8,0,0
Jonotla,4,4,4,4,2,2,2,0,1,1,0,0,0,0,0
Jopala,C,C,1,1,0,0,0,0,0,0,0,1,1,0,C
Juan C. Bonilla,C,C,2,2,0,1,0,0,0,0,0,0,0,0,C
Juan N. Mendez,3,3,3,3,0,2,0,0,0,0,0,0,0,0,0
Lafragua,7,7,7,7,0,3,0,0,0,0,0,2,0,0,0
Libres,6,6,6,6,2,4,2,0,1,0,0,1,1,0,0
La Magdalena Tlatlauquitepec,C,C,1,1,0,1,0,0,0,0,0,1,1,0,C
Mazapiltepec de Juarez,3,3,3,3,0,2,0,0,1,1,1,0,0,0,0
Mixtla,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Molcaxac,9,9,9,6,1,4,1,0,0,0,0,1,1,0,0
Cañada Morelos,5,5,5,5,1,3,2,0,1,0,0,2,2,1,0
Nicolas Bravo,C,C,2,2,1,2,0,0,1,0,0,1,0,0,C
Nopalucan,6,6,6,6,0,5,0,0,0,0,0,0,0,0,0
Ocotepec,C,C,2,2,0,0,0,0,0,0,0,1,1,0,C
Ocoyucan,11,10,10,9,0,7,4,0,0,0,0,0,0,0,1
Olintla,C,C,1,0,0,0,0,0,0,0,0,0,0,0,C
Oriental,7,7,7,7,1,5,4,0,0,0,0,1,1,0,0
Pahuatlan,C,C,2,2,0,0,0,0,0,0,0,1,0,0,C
Palmar de Bravo,14,14,14,14,2,8,2,0,2,2,0,1,1,1,0
Pantepec,16,16,15,13,2,10,3,1,0,0,0,7,5,0,0
Petlalcingo,8,8,8,7,0,8,1,0,0,0,0,0,0,0,0
Piaxtla,5,5,5,4,0,4,1,0,0,0,0,2,1,0,0
Puebla,20,20,20,15,2,11,0,0,1,1,0,7,4,1,0
Quecholac,12,12,12,12,0,11,1,0,0,0,0,0,0,0,0
Rafael Lara Grajales,C,C,1,1,0,0,0,0,0,0,0,0,0,0,C
Los Reyes de Juarez,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
San Andres Cholula,6,5,5,3,0,2,1,0,0,0,0,0,0,0,1
San Antonio Cañada,C,C,2,1,0,2,1,0,0,0,0,2,2,0,C
San Diego la Mesa Tochimiltzingo,4,4,4,4,1,1,0,0,2,1,1,0,0,0,0
San Felipe Teotlalcingo,3,3,3,3,0,0,0,0,0,0,0,1,1,0,0
San Gabriel Chilac,4,4,4,4,1,2,1,0,0,0,0,0,0,0,0
