INEGI. IX Censo Ejidal 2007,,,,,,,
Total de ejidos y comunidades segun disposicion y tipo de parcelas,,,,,,,cuadro 31
con destino especifico por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,parcelas_de_destino_especifico_ejidos_y_comunidades_con_parcelas_de_destino_especifico,parcelas_de_destino_especifico_parcela_escolar,parcelas_de_destino_especifico_unidad_productiva_para_el_desarrollo_integral_de_la_juventud,unidad_agricola_industrial_para_la_mujer_total,unidad_agricola_industrial_para_la_mujer_mujeres_participantes,sin_parcelas_de_este_tipo
Cuautepec de Hinojosa,24,24,24,0,4,39,0
Chapantongo,14,14,14,0,7,176,0
Chapulhuacan,22,20,19,1,7,105,2
Chilcuautla,6,4,4,0,1,19,2
Eloxochitlan,8,5,5,0,1,20,3
Emiliano Zapata,4,4,4,0,2,128,0
Epazoyucan,12,10,9,0,7,89,2
Francisco I. Madero,C,C,2,1,0,0,C
Huasca de Ocampo,27,23,21,2,6,57,4
Huautla,42,37,35,4,12,253,5
Huazalingo,12,11,11,0,5,349,1
Huehuetla,6,3,3,0,0,0,3
Huejutla de Reyes,47,43,41,1,8,403,4
Huichapan,35,35,35,1,14,102,0
Ixmiquilpan,24,20,20,1,1,60,4
Jacala de Ledezma,13,13,13,0,0,0,0
Jaltocan,16,13,13,0,5,136,3
Juarez Hidalgo,4,4,3,0,1,35,0
Lolotla,10,8,8,0,6,133,2
Metepec,11,10,10,0,3,26,1
San Agustin Metzquititlan,7,4,4,0,2,5,3
Metztitlan,27,19,19,0,6,31,8
Mineral del Chico,6,4,4,0,2,31,2
Mineral del Monte,C,C,2,0,0,0,C
Mixquiahuala de Juarez,7,7,6,0,3,12,0
Molango de Escamilla,13,10,10,0,3,20,3
Nicolas Flores,4,1,0,0,1,9,3
Nopala de Villagran,9,9,9,0,6,109,0
Omitlan de Juarez,4,4,4,0,0,0,0
San Felipe Orizatlan,80,69,67,12,30,903,11
Pacula,C,C,1,0,0,0,C
Pachuca de Soto,7,6,6,0,1,0,1
Pisaflores,6,5,5,2,4,85,1
Progreso de Obregon,C,C,1,0,0,0,C
Mineral de la Reforma,7,5,4,1,0,0,2
San Agustin Tlaxiaca,10,9,9,2,1,9,1
San Bartolo Tutotepec,7,1,1,0,0,0,6
San Salvador,18,15,15,1,4,63,3
Santiago de Anaya,13,13,13,0,4,129,0
Santiago Tulantepec de Lugo Guerrero,6,5,5,0,1,12,1
Singuilucan,15,14,14,0,1,13,1
Tasquillo,17,8,8,2,3,211,9
Tecozautla,32,29,29,2,15,136,3
Tenango de Doria,5,5,5,0,0,0,0
Tepeapulco,9,9,9,0,3,34,0
Tepehuacan de Guerrero,31,25,24,2,5,110,6
Tepeji del Rio de Ocampo,16,16,16,0,5,43,0
Tepetitlan,12,10,10,0,4,25,2
Tetepango,C,C,2,0,1,10,C
Villa de Tezontepec,C,C,1,0,0,0,C
Tezontepec de Aldama,5,5,5,0,0,0,0
Tianguistengo,24,22,22,2,7,42,2
Tizayuca,3,3,3,0,1,0,0
Tlahuelilpan,C,C,1,0,1,60,C
Tlahuiltepa,15,5,5,0,0,0,10
Tlanalapa,3,3,3,0,0,0,0
Tlanchinol,34,30,30,0,4,7,4
Tlaxcoapan,4,4,4,0,1,6,0
Tolcayuca,3,3,3,0,2,52,0
Tula de Allende,25,19,19,1,6,67,6
