INEGI. IX Censo Ejidal 2007,,,,,,,,,,
"Ejidos y comunidades con tractores de su propiedad segun cantidad, años de uso",,,,,,,,,,cuadro 28
y funcionamiento por entidad federativa y municipio,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_tractores,cantidad_de_tractores,años_de_uso_de_los_tractores_hasta_5_años_cantidad_total,años_de_uso_de_los_tractores_hasta_5_años_cantidad_funcionando,años_de_uso_de_los_tractores_mas_de_5 hasta_10_años_cantidad_total,años_de_uso_de_los_tractores_mas_de_5 hasta_10_años_cantidad_funcionando,años_de_uso_de_los_tractores_mas_de_10_hasta_15_años_cantidad_total,años_de_uso_de_los_tractores_mas_de_10_hasta_15_años_cantidad_funcionando,años_de_uso_de_los_tractores_mas_de_15_años_cantidad_total,años_de_uso_de_los_tractores_mas_de_15_años_cantidad_funcionando
Apaxco,1,5,0,0,0,0,0,0,5,4
Atenco,2,4,4,4,0,0,0,0,0,0
Atlacomulco,5,12,2,2,5,5,1,1,4,1
Axapusco,1,2,0,0,1,1,0,0,1,1
Capulhuac,1,1,1,1,0,0,0,0,0,0
Coyotepec,1,1,0,0,1,1,0,0,0,0
Chalco,7,10,3,3,0,0,6,5,1,1
Chiautla,4,5,4,4,0,0,0,0,1,1
Chicoloapan,1,5,2,2,0,0,0,0,3,3
Chimalhuacan,1,2,0,0,0,0,2,1,0,0
Ecatzingo,2,2,2,2,0,0,0,0,0,0
Huehuetoca,1,1,1,1,0,0,0,0,0,0
Hueypoxtla,1,2,2,2,0,0,0,0,0,0
Huixquilucan,1,1,0,0,1,0,0,0,0,0
Ixtapaluca,3,7,3,3,2,2,1,0,1,1
Ixtapan del Oro,1,1,0,0,1,1,0,0,0,0
Jaltenco,1,1,0,0,0,0,0,0,1,0
Jilotepec,1,2,0,0,0,0,0,0,2,0
Jilotzingo,1,1,0,0,0,0,0,0,1,1
Jiquipilco,8,36,14,14,7,7,2,2,13,13
Lerma,4,5,1,1,0,0,0,0,4,3
Morelos,1,1,0,0,0,0,0,0,1,1
Naucalpan de Juarez,2,6,0,0,0,0,0,0,6,5
Nextlalpan,1,1,0,0,0,0,0,0,1,1
Ocoyoacac,1,2,0,0,0,0,0,0,2,1
Ozumba,1,2,0,0,1,1,1,1,0,0
Papalotla,1,2,0,0,0,0,1,1,1,1
Polotitlan,2,4,1,1,0,0,0,0,3,3
Soyaniquilpan de Juarez,2,9,0,0,0,0,5,5,4,4
Tecamac,4,7,2,1,4,4,0,0,1,1
Temamatla,1,1,0,0,0,0,1,1,0,0
Temascaltepec,3,3,1,1,1,0,1,1,0,0
Tenancingo,1,1,0,0,0,0,0,0,1,0
Teotihuacan,2,3,1,1,1,1,1,1,0,0
Tepetlaoxtoc,4,6,2,2,0,0,1,1,3,3
Tepotzotlan,2,2,0,0,1,0,1,1,0,0
Texcoco,8,15,2,2,1,1,0,0,12,12
Timilpan,1,5,0,0,0,0,5,5,0,0
Tlalmanalco,2,4,3,3,0,0,0,0,1,0
Tlalnepantla de Baz,1,1,0,0,0,0,0,0,1,1
Toluca,1,2,0,0,2,0,0,0,0,0
Villa del Carbon,1,1,1,1,0,0,0,0,0,0
Zinacantepec,1,1,0,0,1,1,0,0,0,0
Valle de Chalco Solidaridad,1,3,0,0,2,2,1,1,0,0
Michoacan de Ocampo,123,219,38,38,52,52,42,38,87,75
Acuitzio,1,2,0,0,0,0,1,1,1,1
alvaro Obregon,4,6,1,1,1,1,3,3,1,1
Apatzingan,1,1,1,1,0,0,0,0,0,0
Ario,3,5,0,0,1,1,1,1,3,2
Arteaga,1,4,1,1,0,0,0,0,3,3
Buenavista,3,9,0,0,6,6,2,2,1,1
Coahuayana,1,3,0,0,0,0,0,0,3,3
Coeneo,6,13,0,0,2,2,2,2,9,5
Contepec,3,10,0,0,2,2,8,8,0,0
Cotija,1,2,1,1,1,1,0,0,0,0
Cuitzeo,1,1,0,0,0,0,0,0,1,1
Charapan,1,3,0,0,3,3,0,0,0,0
Charo,1,2,1,1,1,1,0,0,0,0
Chinicuila,1,1,0,0,0,0,0,0,1,1
Chucandiro,1,1,0,0,0,0,0,0,1,0
Churumuco,1,1,0,0,0,0,0,0,1,1
Ecuandureo,1,1,0,0,1,1,0,0,0,0
Erongaricuaro,5,11,2,2,4,4,3,3,2,0
Hidalgo,6,11,1,1,2,2,0,0,8,8
La Huacana,4,5,0,0,0,0,0,0,5,4
Huaniqueo,1,1,0,0,0,0,0,0,1,1
Indaparapeo,2,3,1,1,1,1,1,1,0,0
Irimbo,2,3,0,0,0,0,3,2,0,0
Ixtlan,2,3,0,0,1,1,1,0,1,1
Madero,1,1,1,1,0,0,0,0,0,0
Maravatio,1,1,0,0,0,0,0,0,1,1
Lazaro Cardenas,2,3,2,2,1,1,0,0,0,0
Morelia,3,6,1,1,2,2,0,0,3,3
Morelos,2,2,0,0,0,0,0,0,2,2
Mugica,1,3,0,0,0,0,0,0,3,3
Nahuatzen,1,1,0,0,0,0,0,0,1,1
Nuevo Parangaricutiro,2,4,0,0,0,0,1,1,3,3
Panindicuaro,1,1,0,0,0,0,0,0,1,1
Paracho,1,1,0,0,0,0,0,0,1,0
Patzcuaro,4,5,1,1,0,0,3,3,1,1
Penjamillo,2,5,0,0,0,0,0,0,5,5
Querendaro,1,1,1,1,0,0,0,0,0,0
Quiroga,2,3,1,1,1,1,1,1,0,0
Los Reyes,2,6,1,1,1,1,0,0,4,4
San Lucas,1,1,0,0,1,1,0,0,0,0
Salvador Escalante,8,13,2,2,5,5,2,2,4,4
Susupuato,1,1,0,0,1,1,0,0,0,0
Tacambaro,2,6,2,2,4,4,0,0,0,0
Tangancicuaro,1,2,0,0,0,0,2,2,0,0
Taretan,1,1,1,1,0,0,0,0,0,0
Tarimbaro,3,8,5,5,2,2,0,0,1,1
Tingambato,3,4,1,1,3,3,0,0,0,0
Tlazazalca,1,1,1,1,0,0,0,0,0,0
Tuxpan,1,2,0,0,0,0,0,0,2,2
Uruapan,4,6,5,5,0,0,1,1,0,0
Venustiano Carranza,1,2,0,0,0,0,0,0,2,2
Villamar,1,1,0,0,0,0,0,0,1,1
Zacapu,5,9,2,2,2,2,0,0,5,5
Zamora,2,6,1,1,2,2,2,2,1,1
Zinaparo,1,1,0,0,0,0,0,0,1,1
Zinapecuaro,5,7,1,1,0,0,4,2,2,1
Ziracuaretiro,1,1,0,0,0,0,0,0,1,0
Zitacuaro,2,2,0,0,1,1,1,1,0,0
Morelos,27,36,7,7,8,7,4,1,17,15
Amacuzac,1,1,0,0,0,0,0,0,1,0
Ayala,2,2,1,1,0,0,1,0,0,0
Cuernavaca,4,5,0,0,2,2,1,1,2,2
Emiliano Zapata,1,1,1,1,0,0,0,0,0,0
Jantetelco,1,1,0,0,0,0,0,0,1,1
Jojutla,1,1,0,0,0,0,0,0,1,1
Jonacatepec,1,2,0,0,0,0,0,0,2,2
Puente de Ixtla,3,7,0,0,5,5,0,0,2,2
Temixco,2,2,0,0,0,0,0,0,2,2
Tepalcingo,1,1,0,0,1,0,0,0,0,0
Tepoztlan,1,2,2,2,0,0,0,0,0,0
Tlalnepantla,1,1,1,1,0,0,0,0,0,0
Tlaltizapan,3,4,0,0,0,0,0,0,4,3
Tlaquiltenango,3,3,2,2,0,0,0,0,1,1
Yecapixtla,1,1,0,0,0,0,0,0,1,1
Temoac,1,2,0,0,0,0,2,0,0,0
Nayarit,28,44,9,9,13,13,10,10,12,10
