INEGI. IX Censo Ejidal 2007,,,,,,,
"Ejidos y comunidades con asistencia a la escuela del presidente del comisariado,",,,,,,,cuadro 41
segun nivel maximo de estudios aprobado por entidad federativa y municipio,,,,,,,
,,,,,,,
,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_asistencia_a_la_escuela_del_presidente_del_comisariado,nivel_maximo_de_estudios_aprobado_ninguno,nivel_maximo_de_estudios_aprobado_primaria,nivel_maximo_de_estudios_aprobado_secundaria,nivel_maximo_de_estudios_aprobado_preparatoria,nivel_maximo_de_estudios_aprobado_otros_estudios,nivel_maximo_de_estudios_aprobado_sin_asistencia_a_la_escuela
Cochoapa el Grande,1,0,0,1,0,0,0
Jose Joaquin de Herrera,1,0,1,0,0,0,0
Juchitan,1,0,1,0,0,0,0
Iliatenco,4,0,0,0,0,4,0
Hidalgo,1064,7,760,190,43,64,125
Acatlan,17,0,16,0,1,0,0
Acaxochitlan,12,1,7,3,1,0,1
Actopan,11,0,6,2,0,3,0
Agua Blanca de Iturbide,8,0,4,3,1,0,2
Ajacuba,8,0,6,1,1,0,0
Alfajayucan,28,0,21,7,0,0,0
Almoloya,13,0,7,4,2,0,0
Apan,13,0,7,4,1,1,2
El Arenal,8,0,5,3,0,0,0
Atitalaquia,5,0,4,1,0,0,0
Atlapexco,7,1,5,1,0,0,2
Atotonilco el Grande,23,0,21,0,1,1,1
Atotonilco de Tula,7,0,4,1,1,1,0
Calnali,3,0,3,0,0,0,0
Cardonal,19,0,15,2,0,2,1
Cuautepec de Hinojosa,22,0,17,4,0,1,2
Chapantongo,13,0,8,3,1,1,1
Chapulhuacan,16,0,15,1,0,0,6
Chilcuautla,6,0,4,0,0,2,0
Eloxochitlan,7,0,4,2,1,0,1
Emiliano Zapata,4,0,3,1,0,0,0
Epazoyucan,12,0,4,3,2,3,0
Francisco I. Madero,2,0,1,1,0,0,0
Huasca de Ocampo,25,0,17,5,2,1,2
Huautla,37,0,30,7,0,0,5
Huazalingo,11,0,10,1,0,0,1
Huehuetla,4,0,3,0,0,1,2
Huejutla de Reyes,31,1,27,3,0,0,16
Huichapan,35,0,26,9,0,0,0
Ixmiquilpan,24,0,16,3,0,5,0
Jacala de Ledezma,11,0,9,1,1,0,2
Jaltocan,7,0,5,2,0,0,9
Juarez Hidalgo,4,0,4,0,0,0,0
Lolotla,10,0,5,4,0,1,0
Metepec,11,0,6,4,1,0,0
San Agustin Metzquititlan,7,0,6,0,1,0,0
Metztitlan,27,0,22,3,0,2,0
Mineral del Chico,6,0,4,0,0,2,0
Mineral del Monte,2,0,2,0,0,0,0
Mixquiahuala de Juarez,7,0,4,2,0,1,0
Molango de Escamilla,11,0,10,1,0,0,2
Nicolas Flores,4,0,2,0,1,1,0
Nopala de Villagran,9,0,6,2,0,1,0
Omitlan de Juarez,4,0,2,2,0,0,0
San Felipe Orizatlan,62,1,51,10,0,0,18
Pacula,2,0,2,0,0,0,0
Pachuca de Soto,6,0,2,1,0,3,1
Pisaflores,4,0,4,0,0,0,2
Progreso de Obregon,1,0,1,0,0,0,0
Mineral de la Reforma,7,0,2,4,1,0,0
San Agustin Tlaxiaca,10,0,5,1,3,1,0
San Bartolo Tutotepec,4,1,3,0,0,0,3
San Salvador,18,0,11,2,1,4,0
Santiago de Anaya,13,0,10,2,1,0,0
Santiago Tulantepec de Lugo Guerrero,6,0,4,2,0,0,0
Singuilucan,15,0,9,4,2,0,0
Tasquillo,17,0,10,2,2,3,0
Tecozautla,27,1,19,6,1,0,5
Tenango de Doria,2,0,2,0,0,0,3
Tepeapulco,9,0,4,2,2,1,0
Tepehuacan de Guerrero,26,0,23,3,0,0,5
Tepeji del Rio de Ocampo,16,0,12,3,0,1,0
Tepetitlan,12,0,9,2,1,0,0
Tetepango,2,0,0,1,1,0,0
Villa de Tezontepec,1,0,0,0,0,1,0
Tezontepec de Aldama,5,0,3,2,0,0,0
Tianguistengo,20,0,18,2,0,0,4
Tizayuca,3,0,2,1,0,0,0
Tlahuelilpan,1,0,0,1,0,0,0
Tlahuiltepa,13,1,6,5,1,0,2
Tlanalapa,3,0,2,1,0,0,0
Tlanchinol,32,0,27,4,0,1,2
Tlaxcoapan,4,0,3,0,1,0,0
Tolcayuca,3,0,2,0,0,1,0
Tula de Allende,25,0,17,3,1,4,0
Tulancingo de Bravo,14,0,7,2,1,4,0
Xochiatipan,15,0,14,1,0,0,10
Xochicoatlan,15,0,13,1,0,1,0
Yahualica,13,0,9,4,0,0,7
Zacualtipan de angeles,17,0,10,3,1,3,2
Zapotlan de Juarez,3,0,1,0,0,2,0
Zempoala,24,0,8,9,3,4,0
Zimapan,43,0,32,10,1,0,3
Jalisco,1295,2,914,178,62,139,134
Acatic,1,0,1,0,0,0,1
Acatlan de Juarez,6,0,4,0,0,2,1
Ahualulco de Mercado,8,0,3,3,1,1,0
Amacueca,1,0,1,0,0,0,0
Amatitan,5,0,3,0,0,2,0
Ameca,43,0,28,9,3,3,1
San Juanito de Escobedo,5,0,4,1,0,0,0
Arandas,1,0,0,1,0,0,0
El Arenal,3,0,0,1,0,2,0
Atemajac de Brizuela,8,0,8,0,0,0,1
Atengo,11,0,10,0,1,0,1
Atenguillo,5,0,4,1,0,0,0
Atotonilco el Alto,16,0,12,3,0,1,3
