INEGI. IX Censo Ejidal 2007,,,,,
Total de ejidos y comunidades segun cuenten con grupos para la produccion,,,,,cuadro 33
y ejidatarios participantes por entidad federativa y municipio,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades,con_grupos_para_la_produccion_total,con_grupos_para_la_produccion_ejidatarios_participantes_total,con_grupos_para_la_produccion_ejidatarios_participantes_mujeres,sin_grupos_para_la_produccion
Zapotiltic,18,2,302,147,16
Zapotitlan de Vadillo,4,1,42,0,3
Zapotlan del Rey,22,2,58,6,20
Zapotlanejo,11,0,0,0,11
Mexico, 1 233,130, 7 195, 1 379, 1 103
Acambay,32,1,10,5,31
Acolman,13,3,174,26,10
Aculco,26,1,50,20,25
Almoloya de Alquisiras,12,0,0,0,12
Almoloya de Juarez,36,4,250,27,32
Almoloya del Río,4,1,25,0,3
Amanalco,19,4,218,28,15
Amatepec,17,1,30,7,16
Amecameca,11,2,28,14,9
Apaxco,     C,C,20,8,C
Atenco,5,1,10,4,4
Atizapan,     C,C,0,0,C
Atizapan de Zaragoza,     C,C,0,0,C
Atlacomulco,29,4,370,119,25
Atlautla,     C,C,5,0,C
Axapusco,16,6,610,35,10
Ayapango,5,1,200,47,4
Calimaya,9,1,172,50,8
Capulhuac,4,0,0,0,4
Coacalco de Berriozabal,     C,C,0,0,C
Coatepec Harinas,11,2,872,403,9
Cocotitlan,     C,C,0,0,C
Coyotepec,     C,C,35,25,C
Cuautitlan,     C,C,0,0,C
Chalco,14,1,12,12,13
Chapa de Mota,15,0,0,0,15
Chapultepec,     C,C,0,0,C
Chiautla,5,1,12,0,4
Chicoloapan,     C,C,0,0,C
Chiconcuac,     C,C,0,0,C
Chimalhuacan,     C,C,10,2,C
Donato Guerra,17,1,30,6,16
Ecatepec de Morelos,8,0,0,0,8
Ecatzingo,     C,C,0,0,C
Huehuetoca,3,1,7,1,2
