INEGI. IX Censo Ejidal 2007,,,,,,,,,,
Ejidos y comunidades con maquinaria para uso agropecuario o forestal de su propiedad,,,,,,,,,,cuadro 30
"segun tipo, cantidad y funcionamiento por entidad federativa y municipio",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_maquinaria_para_uso_agropecuario_o_forestal,ejidos_y_comunidades_con_trilladoras,ejidos_y_comunidades_con_trilladoras_cantidad_total,ejidos_y_comunidades_con_trilladoras_en_funcionamiento,ejidos_y_comunidades_con_motogruas,ejidos_y_comunidades_con_motogruas_cantidad_total,ejidos_y_comunidades_con_motogruas_en_funcionamiento,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal_cantidad_total,ejidos_y_comunidades_con_otra_maquinaria_agropecuaria_o_forestal_en_funcionamiento
San Antonio Nanahuatipam,1,0,0,0,0,0,0,1,1,1
San Bernardo Mixtepec,2,0,0,0,1,1,1,1,2,2
San Esteban Atatlahuca,1,0,0,0,1,2,2,0,0,0
San Francisco Cahuacua,1,0,0,0,1,1,1,1,1,1
San Francisco Cajonos,1,0,0,0,1,1,1,0,0,0
San Juan Atepec,1,0,0,0,1,3,3,1,2,2
San Juan Bautista Tuxtepec,4,0,0,0,0,0,0,4,5,5
San Juan Cacahuatepec,1,0,0,0,0,0,0,1,1,1
San Juan del Estado,1,0,0,0,0,0,0,1,1,1
San Juan Yucuita,1,1,1,1,0,0,0,1,1,1
San Lorenzo Albarradas,1,0,0,0,0,0,0,1,1,1
San Lorenzo Texmelucan,1,0,0,0,0,0,0,1,2,2
San Miguel Aloapam,1,0,0,0,1,3,3,0,0,0
San Miguel Mixtepec,1,0,0,0,1,1,1,0,0,0
Villa Sola de Vega,3,0,0,0,2,3,3,1,2,0
San Miguel Soyaltepec,4,1,1,1,0,0,0,3,3,3
San Miguel Tequixtepec,1,0,0,0,0,0,0,1,2,2
San Pablo Etla,1,0,0,0,1,1,1,0,0,0
San Pablo Macuiltianguis,1,0,0,0,1,4,4,0,0,0
San Pedro Juchatengo,1,0,0,0,0,0,0,1,2,2
Villa de Tututepec de Melchor Ocampo,1,0,0,0,0,0,0,1,1,1
San Pedro Yolox,1,0,0,0,1,1,1,0,0,0
Santa Catarina Ixtepeji,1,0,0,0,1,2,2,0,0,0
Santa Catarina Lachatao,1,0,0,0,0,0,0,1,3,3
Santa Cruz Itundujia,2,0,0,0,2,3,3,0,0,0
Santa Cruz Zenzontepec,1,0,0,0,1,1,1,1,4,4
Santa Maria Jalapa del Marques,1,0,0,0,0,0,0,1,1,1
Santa Maria Nduayaco,1,0,0,0,0,0,0,1,1,1
Santa Maria Tonameca,1,0,0,0,0,0,0,1,1,1
Santiago Ihuitlan Plumas,1,1,1,1,0,0,0,0,0,0
Santiago Juxtlahuaca,2,0,0,0,0,0,0,2,3,3
Santiago Laxopa,1,0,0,0,1,2,2,1,1,1
Santiago Suchilquitongo,1,0,0,0,0,0,0,1,1,1
Santiago Textitlan,2,0,0,0,2,5,4,2,5,5
Santiago Tillo,1,1,1,1,0,0,0,0,0,0
Santiago Xiacui,2,0,0,0,2,2,2,1,1,1
Santiago Yosondua,1,0,0,0,0,0,0,1,1,1
Nuevo Zoquiapam,1,0,0,0,0,0,0,1,1,1
