INEGI. IX Censo Ejidal 2007,,,,,,,,
Ejidos y comunidades con posesionarios segun sexo y disposicion de parcela individual,,,,,,,,cuadro 14
por entidad federativa y municipio,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_posesionarios,posesionarios_total,posesionarios_total_hombres,posesionarios_total_mujeres,con_parcela_individual_total,con_parcela_individual_hombres,con_parcela_individual_mujeres,propiedades_sociales_sin_posesionarios
Tlalixtaquilla de Maldonado,2,13,13,0,0,0,0,3
Tlapa de Comonfort,14,1489,1307,182,568,487,81,16
Tlapehuala,11,954,662,292,954,662,292,1
La Union de Isidoro Montes de Oca,28,1665,1367,298,1537,1249,288,3
Xalpatlahuac,1,200,90,110,0,0,0,7
Xochihuehuetlan,2,12,12,0,10,10,0,5
Xochistlahuaca,1,2628,1720,908,0,0,0,6
Zapotitlan Tablas,1,2798,1448,1350,2798,1448,1350,0
Zirandaro,12,396,341,55,396,341,55,16
Zitlala,5,1116,491,625,1076,471,605,6
Eduardo Neri,9,1184,908,276,840,664,176,7
Acatepec,0,0,0,0,0,0,0,1
Marquelia,3,289,227,62,289,227,62,0
Cochoapa el Grande,1,3000,2300,700,3000,2300,700,0
Jose Joaquin de Herrera,0,0,0,0,0,0,0,1
Juchitan,1,904,755,149,904,755,149,0
Iliatenco,2,1680,900,780,380,180,200,2
Hidalgo,633,44172,36155,8017,36277,29572,6705,556
Acatlan,14,471,368,103,471,368,103,3
Acaxochitlan,6,79,54,25,59,34,25,7
Actopan,4,198,116,82,196,116,80,7
Agua Blanca de Iturbide,5,40,31,9,40,31,9,5
Ajacuba,4,221,220,1,221,220,1,4
Alfajayucan,6,45,38,7,45,38,7,22
Almoloya,9,192,133,59,182,123,59,4
Apan,12,808,669,139,808,669,139,3
El Arenal,5,326,243,83,326,243,83,3
Atitalaquia,5,768,544,224,768,544,224,0
Atlapexco,8,1953,1697,256,1932,1676,256,1
Atotonilco el Grande,10,668,457,211,668,457,211,14
Atotonilco de Tula,6,346,270,76,261,193,68,1
Calnali,1,6,5,1,6,5,1,2
Cardonal,9,424,321,103,393,301,92,11
Cuautepec de Hinojosa,17,1147,776,371,957,632,325,7
Chapantongo,10,120,101,19,120,101,19,4
Chapulhuacan,4,148,142,6,0,0,0,18
Chilcuautla,1,73,73,0,73,73,0,5
Eloxochitlan,3,215,213,2,130,130,0,5
Emiliano Zapata,3,173,152,21,173,152,21,1
Epazoyucan,7,153,106,47,153,106,47,5
Francisco I. Madero,1,192,173,19,192,173,19,1
Huasca de Ocampo,22,1713,1284,429,1271,966,305,5
Huautla,17,450,379,71,406,336,70,25
Huazalingo,9,959,846,113,694,631,63,3
Huehuetla,3,223,201,22,73,71,2,3
