INEGI. IX Censo Ejidal 2007,,,,,,,,,,,,
Ejidos y comunidades agropecuarias y forestales con construcciones de su propiedad,,,,,,,,,,,,cuadro 25
segun tipo y cantidad por entidad federativa y municipio,,,,,,,,,,,,
,,,,,,,,,,,,
entidad_federativa_y_municipio,ejidos_y_comunidades_con_bordos_para_riego_o_abrevadero,cantidad_de_bordos_para_riego_o_abrevadero,ejidos_y_comunidades_con_pozo_para_riego,cantidad_de_pozos_para_riego,ejidos_y_comunidades_con_baños_garrapaticidas,cantidad_de_baños_garrapaticidas,ejidos_y_comunidades_con_salas_de_ordeña,cantidad_de_salas_de_ordeña,ejidos_y_comunidades_con_aserradero,cantidad_de_aserraderos,ejidos_y_comunidades_con_otras_construcciones,cantidad_de_otras_construcciones
Nuevo Ideal,20,68,12,36,14,14,0,0,0,0,7,7
Guanajuato,566,2359,681,2286,48,48,4,8,0,0,91,103
Abasolo,11,19,26,93,0,0,0,0,0,0,0,0
Acambaro,30,90,49,176,5,5,0,0,0,0,5,5
San Miguel de Allende,41,88,19,26,3,3,0,0,0,0,1,1
Apaseo el Alto,9,13,17,40,0,0,0,0,0,0,1,1
Apaseo el Grande,14,58,22,60,1,1,0,0,0,0,7,7
Atarjea,8,18,0,0,5,5,0,0,0,0,0,0
Celaya,5,14,26,59,0,0,0,0,0,0,2,2
Manuel Doblado,10,34,19,66,2,2,0,0,0,0,1,1
Comonfort,8,8,4,10,0,0,0,0,0,0,0,0
Coroneo,3,15,1,1,0,0,0,0,0,0,0,0
Cortazar,6,12,18,58,1,1,0,0,0,0,3,4
Cueramaro,3,6,8,76,0,0,0,0,0,0,1,1
Doctor Mora,3,9,2,9,0,0,1,3,0,0,0,0
Dolores Hidalgo Cuna de la Independencia Nal.,36,55,27,55,0,0,0,0,0,0,2,2
Guanajuato,11,24,4,25,1,1,0,0,0,0,0,0
Huanimaro,4,13,18,54,0,0,0,0,0,0,1,1
Irapuato,12,884,39,147,3,3,0,0,0,0,2,2
Jaral del Progreso,0,0,10,57,2,2,0,0,0,0,1,1
Jerecuaro,29,47,9,21,3,3,0,0,0,0,9,9
Leon,28,173,12,135,0,0,1,2,0,0,1,1
Moroleon,2,2,1,1,0,0,0,0,0,0,0,0
Ocampo,14,42,0,0,1,1,0,0,0,0,4,5
Penjamo,15,21,96,223,1,1,0,0,0,0,1,1
Pueblo Nuevo,0,0,3,3,0,0,0,0,0,0,0,0
Purisima del Rincon,5,12,3,32,0,0,0,0,0,0,0,0
Romita,9,11,5,5,0,0,0,0,0,0,0,0
Salamanca,7,11,34,128,0,0,0,0,0,0,1,1
Salvatierra,24,62,24,146,1,1,0,0,0,0,9,11
San Diego de la Union,29,80,6,12,1,1,0,0,0,0,4,6
San Felipe,68,258,14,72,2,2,0,0,0,0,18,20
San Francisco del Rincon,10,16,8,52,1,1,0,0,0,0,1,1
San Jose Iturbide,2,5,2,3,0,0,0,0,0,0,0,0
San Luis de la Paz,20,66,8,23,6,6,0,0,0,0,0,0
Santa Catarina,1,1,0,0,0,0,0,0,0,0,0,0
Santa Cruz de Juventino Rosas,13,37,10,28,0,0,2,3,0,0,1,1
Santiago Maravatio,8,14,3,7,0,0,0,0,0,0,0,0
Silao,12,13,23,69,0,0,0,0,0,0,0,0
Tarandacuao,3,4,3,28,0,0,0,0,0,0,0,0
Tarimoro,6,6,10,40,0,0,0,0,0,0,2,2
Tierra Blanca,1,1,0,0,0,0,0,0,0,0,0,0
Uriangato,1,1,2,2,0,0,0,0,0,0,1,1
Valle de Santiago,8,12,54,83,0,0,0,0,0,0,2,2
Victoria,11,27,3,6,4,4,0,0,0,0,3,7
Villagran,0,0,7,69,0,0,0,0,0,0,2,2
Xichu,5,6,1,1,1,1,0,0,0,0,0,0
Yuriria,21,71,31,85,4,4,0,0,0,0,5,5
